task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,sag_Latn,rb,"ti so a mû na mo. Bâ wala na yâ ti molongo ti wungo so a mû ni, wungo use ayeke nduru na mba ahon # >>> has_close_elements.call([1.0, 2.0, 3.0], 0.5)
# false
# >>> has_close_elements.call([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
# true
def has_close_elements(numbers, threshold)
","def has_close_elements(numbers, threshold)
  numbers.combination(2).any? { |a, b| (a - b).abs < threshold }
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_has_close_elements
    candidate = method(:has_close_elements)
    assert_equal(true, candidate.call([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3))
    assert_equal(false, candidate.call([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05))
    assert_equal(true, candidate.call([1.0, 2.0, 5.9, 4.0, 5.0], 0.95))
    assert_equal(false, candidate.call([1.0, 2.0, 5.9, 4.0, 5.0], 0.8))
    assert_equal(true, candidate.call([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1))
    assert_equal(true, candidate.call([1.1, 2.2, 3.1, 4.1, 5.1], 1.0))
    assert_equal(false, candidate.call([1.1, 2.2, 3.1, 4.1, 5.1], 0.5))
  end
end
"
HumanEval_1,sag_Latn,rb,"Zia pëpe na yâ ti tënë so mo zia na yâ ti molongo ti atënë ni.A yeke zia yâ ti ambage ni nde nde ti bungbi ni na place ti ambage ni nde nde (a yeke kanga yâ ti ambage ni nde nde nzoni) nga a yeke zia ni na yâ ti ambage ni nde nde pëpe.Kangbi ni: a yeke zia ni na yâ ti molongo ti molongo ni na a kiri na molongo ni.Fango na kua so ayeke mbeni molongo so na yâ ni a yeke wara gbâ ti agroupe ti a-parenthèse so a zia ni na popo ti ala.# >>> separate_paren_groups.call(""( ) (( )) (( )( ))"")
# [""()"", ""(())"", ""(()())""]
def separate_paren_groups(paren_string)
","def separate_paren_groups(paren_string)
  # Remove spaces from the string
  paren_string = paren_string.gsub("" "", """")
  
  result = []
  current_group = """"
  balance = 0

  paren_string.each_char do |char|
    current_group += char
    balance += 1 if char == '('
    balance -= 1 if char == ')'

    if balance == 0 && !current_group.empty?
      result << current_group
      current_group = """"
    end
  end

  result
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_separate_paren_groups
    candidate = method(:separate_paren_groups)
    assert_equal([""(()())"", ""((()))"", ""()"", ""((())()())""], candidate.call(""(()()) ((())) () ((())()())""))
    assert_equal([""()"", ""(())"", ""((()))"", ""(((())))""], candidate.call(""() (()) ((())) (((())))""))
    assert_equal([""(()(())((())))""], candidate.call(""(()(())((())))""))
    assert_equal([""()"", ""(())"", ""(()())""], candidate.call(""( ) (( )) (( )( ))""))
  end
end
"
HumanEval_2,sag_Latn,rb,"Kiri na mbage ti wungo ni so ayeke na peko ti ndo ti wungo ti azo. (ti kiri na peko ti aye so angbâ na peko ti mbeni ye ayeke lakue kete ahon 1 pëpe).na mbage ti wungo ti aye kue (nzo wungo ti aye kue so ayeke kete ahon wungo so a mû) nga na ndo ti wungo ti aye kue so ayeke na popo ti aye kue Tongana e mû mbeni wungo so ayeke na lê ti ye so ayeke tambela na nduzu, e lingbi ti kangbi yâ ni na # >>> truncate_number.call(3.5)
# 0.5
def truncate_number(number)
","def truncate_number(number)
  number - number.to_i
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_truncate_number
    candidate = method(:truncate_number)
    assert_equal(0.5, candidate.call(3.5))
    assert_equal(0.25, candidate.call(1.25))
    assert_equal(0.0, candidate.call(123.0))
  end
end
"
HumanEval_3,sag_Latn,rb,"na ngoi ni so, a lingbi a kiri na tënë tâ tënë.Kua ti mo ayeke ti bâ wala mbeni ye so mo sara na yâ ti compte ti mo ayeke na gbe ti zero, nga ti bâ wala mo wara mbeni ye so mo sara na yâ ti compte ti mo so ayeke na gbe ti zero.A yeke mû na mo gbâ ti aye ti yôro na ti zi na nginza na yâ ti mbeni konti ti banque so akomanse na # >>> below_zero.call([1, 2, 3])
# false
# >>> below_zero.call([1, 2, -4, 5])
# true
def below_zero(operations)
","def below_zero(operations)
  balance = 0
  operations.each do |operation|
    balance += operation
    return true if balance < 0
  end
  false
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_below_zero
    candidate = method(:below_zero)
    assert_equal(false, candidate.call([]))
    assert_equal(false, candidate.call([1, 2, -3, 1, 2, -3]))
    assert_equal(true, candidate.call([1, 2, -4, 5, 6]))
    assert_equal(false, candidate.call([1, -1, 2, -2, 5, -5, 4, -4]))
    assert_equal(true, candidate.call([1, -1, 2, -2, 5, -5, 4, -5]))
    assert_equal(true, candidate.call([1, -2, 2, -2, 5, -5, 4, -4]))
  end
end
"
HumanEval_4,sag_Latn,rb,"MAD = average. x - x_mean. ye so ayeke na katikati ti ye ni (na yâ ti tapande so, a yeke ye so ayeke na popo ti aye ni): Mean Absolute Deviation ayeke katikati ti kota kangbi so ayeke na popo ti aye use so.na popo ti wungo ti azo so a wara na yâ ti mbeti so. Ti wara gbâ ti wungo ti aye so a zia na yâ ti mbeni ye, bâ tongana nyen la a yeke wara tâ kangbingo ti aye ni kue.# >>> mean_absolute_deviation.call([1.0, 2.0, 3.0, 4.0])
# 1.0
def mean_absolute_deviation(numbers)
","def mean_absolute_deviation(numbers)
  mean = numbers.sum.to_f / numbers.size
  deviations = numbers.map { |num| (num - mean).abs }
  deviations.sum / numbers.size
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_mean_absolute_deviation
    candidate = method(:mean_absolute_deviation)
    assert_equal(0.5, candidate.call([1.0, 2.0]))
    assert_equal(1.0, candidate.call([1.0, 2.0, 3.0, 4.0]))
    assert_equal(1.2, candidate.call([1.0, 2.0, 3.0, 4.0, 5.0]))
  end
end
"
HumanEval_5,sag_Latn,rb,"Zia mbeni numero so ayeke na popo ti ambage use ti tableau so ayeke na peko ti tere ∀numbers' # >>> intersperse.call([], 4)
# []
# >>> intersperse.call([1, 2, 3], 4)
# [1, 4, 2, 4, 3]
def intersperse(numbers, delimeter)
","def intersperse(numbers, delimeter)
  return numbers if numbers.empty?
  result = []
  numbers.each_with_index do |num, index|
    result << num
    result << delimeter unless index == numbers.size - 1
  end
  result
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_intersperse
    candidate = method(:intersperse)
    assert_equal([], candidate.call([], 7))
    assert_equal([5, 8, 6, 8, 3, 8, 2], candidate.call([5, 6, 3, 2], 8))
    assert_equal([2, 2, 2, 2, 2], candidate.call([2, 2, 2], 2))
  end
end
"
HumanEval_6,sag_Latn,rb,"Na tapande, (() (()) ayeke na angangu ndo use ti lekengo na adû, na ((())) ayeke na angangu ndo ota. Ti groupe oko oko, fa na lê ti carte ni so a zia yâ ti acouche ni na yâ ti a-parenthèse. Fango ye ti kua so ayeke mbeni molongo ti atiri so a fa na gigi agroupe mingi teti a-parenthèse so a zia yâ ni na popo ni na lege ti a-espaces. # >>> parse_nested_parens.call(""(()()) ((())) () ((())()())"")
# [2, 3, 1, 3]
def parse_nested_parens(paren_string)
","def parse_nested_parens(paren_string)
  paren_string.split.map do |group|
    max_depth = current_depth = 0
    group.chars.each do |char|
      if char == '('
        current_depth += 1
        max_depth = [max_depth, current_depth].max
      elsif char == ')'
        current_depth -= 1
      end
    end
    max_depth
  end
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_parse_nested_parens
    candidate = method(:parse_nested_parens)
    assert_equal([2, 3, 1, 3], candidate.call(""(()()) ((())) () ((())()())""))
    assert_equal([1, 2, 3, 4], candidate.call(""() (()) ((())) (((())))""))
    assert_equal([4], candidate.call(""(()(())((())))""))
  end
end
"
HumanEval_7,sag_Latn,rb,"Gbu li na ndo ti molongo ti molongo ti atënë so a zia na yâ ni molongo ti atënë so a zia na gbe ni # >>> filter_by_substring.call([], ""a"")
# []
# >>> filter_by_substring.call([""abc"", ""bacd"", ""cde"", ""array""], ""a"")
# [""abc"", ""bacd"", ""array""]
def filter_by_substring(strings, substring)
","def filter_by_substring(strings, substring)
  strings.select { |string| string.include?(substring) }
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_filter_by_substring
    candidate = method(:filter_by_substring)
    assert_equal([], candidate.call([], ""john""))
    assert_equal([""xxx"", ""xxxAAA"", ""xxx""], candidate.call([""xxx"", ""asd"", ""xxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xxx""))
    assert_equal([""xxx"", ""aaaxxy"", ""xxxAAA"", ""xxx""], candidate.call([""xxx"", ""asd"", ""aaaxxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xx""))
    assert_equal([""grunt"", ""prune""], candidate.call([""grunt"", ""trumpet"", ""prune"", ""gruesome""], ""run""))
  end
end
"
HumanEval_8,sag_Latn,rb,"A lingbi wungo ti aye so ayeke senge aduti 0 na a lingbi a wara mbeni ye so ayeke senge aduti 1. Ti mbeni molongo ti a-intègres, kiri na mbeni molongo so a wara wungo ti a-intègres kue na yâ molongo ni nga na molongo so a wara na peko ti ala. # >>> sum_product.call([])
# [0, 1]
# >>> sum_product.call([1, 2, 3, 4])
# [10, 24]
def sum_product(numbers)
","def sum_product(numbers)
  sum = numbers.reduce(0, :+)
  product = numbers.reduce(1, :*)
  [sum, product]
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_sum_product
    candidate = method(:sum_product)
    assert_equal([0, 1], candidate.call([]))
    assert_equal([3, 1], candidate.call([1, 1, 1]))
    assert_equal([100, 0], candidate.call([100, 0]))
    assert_equal([15, 105], candidate.call([3, 5, 7]))
    assert_equal([10, 10], candidate.call([10]))
  end
end
"
HumanEval_9,sag_Latn,rb,"na yâ ti molongo ni.Na lege ti mbeni molongo ti a-intègres, zia e bâ molongo ti akota ye so a wara ni juska na ngoi so a mû ni.# >>> rolling_max.call([1, 2, 3, 2, 3, 4, 2])
# [1, 2, 3, 3, 3, 4, 4]
def rolling_max(numbers)
","def rolling_max(numbers)
  max_so_far = numbers.first
  numbers.map do |num|
    max_so_far = [max_so_far, num].max
  end
end

# Example usage:
# puts rolling_max([1, 2, 3, 2, 3, 4, 2]).inspect","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_rolling_max
    candidate = method(:rolling_max)
    assert_equal([], candidate.call([]))
    assert_equal([1, 2, 3, 4], candidate.call([1, 2, 3, 4]))
    assert_equal([4, 4, 4, 4], candidate.call([4, 3, 2, 1]))
    assert_equal([3, 3, 3, 100, 100], candidate.call([3, 2, 3, 100, 3]))
  end
end
"
HumanEval_10,sag_Latn,rb,"- Na hunzingo ti molongo ti atene ni, zia mbeni kozo tënë so ayeke na devant ti peko ti tënë so ayeke na yâ ti molongo ni.- Gi ti wara kota postfix ti molongo ti atene so a mû na e so ayeke palindrome. Tënë ti algorithme ni ayeke ngangu pëpe: Gi ti wara kete palindrome so ato nda ni na mbeni molongo ti atênë so a mû na e. # >>> make_palindrome.call("""")
# """"
# >>> make_palindrome.call(""cat"")
# ""catac""
# >>> make_palindrome.call(""cata"")
# ""catac""
def make_palindrome(string)
","def make_palindrome(string)
  return string if string.empty?

  def is_palindrome?(s)
    s == s.reverse
  end

  (0...string.length).reverse_each do |i|
    if is_palindrome?(string[i..-1])
      return string + string[0...i].reverse
    end
  end

  string
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_make_palindrome
    candidate = method(:make_palindrome)
    assert_equal("""", candidate.call(""""))
    assert_equal(""x"", candidate.call(""x""))
    assert_equal(""xyzyx"", candidate.call(""xyz""))
    assert_equal(""xyx"", candidate.call(""xyx""))
    assert_equal(""jerryrrej"", candidate.call(""jerry""))
  end
end
"
HumanEval_11,sag_Latn,rb,"Sara kua na kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kode ti kodeA yeke a-string a na b so ayeke gi na alezenge na azoo.# >>> string_xor.call(""010"", ""110"")
# ""100""
def string_xor(a, b)
","def string_xor(a, b)
  result = """"
  a.length.times do |i|
    result << (a[i] == b[i] ? ""0"" : ""1"")
  end
  result
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_string_xor
    candidate = method(:string_xor)
    assert_equal(""010010"", candidate.call(""111000"", ""101010""))
    assert_equal(""0"", candidate.call(""1"", ""1""))
    assert_equal(""0101"", candidate.call(""0101"", ""0000""))
  end
end
"
