task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,ltg_Latn,hs,"--īdūtu gryuteņu.--☐ Pīsavērt, voi dūtā skaitļu sarokstā ir kaidi diveji skaitli tyvuok vīns ūtram nakai ☐--  >>> hasCloseElements [1.0,2.0,3.0] 0.5
--  False
--  >>> hasCloseElements [1.0,2.8,3.0,4.0,5.0,2.0] 0.3
--  True
hasCloseElements :: [Float] -> Float -> Bool
hasCloseElements numbers threshold =","hasCloseElements :: [Float] -> Float -> Bool
hasCloseElements numbers threshold = any (\(x,y) -> abs (x - y) < threshold) [(a, b) | a <- numbers, b <- numbers, a /= b]","
main :: IO ()
main = do
  let candidate = hasCloseElements
  if candidate [1.0,2.0,3.9,4.0,5.0,2.2] 0.3 == True then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.9,4.0,5.0,2.2] 0.05 == False then pure () else error ""assertion failed""
  if candidate [1.0,2.0,5.9,4.0,5.0] 0.95 == True then pure () else error ""assertion failed""
  if candidate [1.0,2.0,5.9,4.0,5.0] 0.8 == False then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0,5.0,2.0] 0.1 == True then pure () else error ""assertion failed""
  if candidate [1.1,2.2,3.1,4.1,5.1] 1.0 == True then pure () else error ""assertion failed""
  if candidate [1.1,2.2,3.1,4.1,5.1] 0.5 == False then pure () else error ""assertion failed""
  pure ()"
HumanEval_1,ltg_Latn,hs,"--Īejis stringā ignorēt īkšejis vītys.--Atškireigys grupys ir izbalanceitys (kotra atvārtuo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo stypruo sty sty sty stypruo sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty sty--izškir ituos grupys atseviškūs ryndkūs i atnese tūs sarokstu.--Itys funkcejis īvode ir rynds, kas satur vairuokys īkļautuos vītnis grupys.--  >>> separateParenGroups ""( ) (( )) (( )( ))""
--  [""()"",""(())"",""(()())""]
separateParenGroups :: String -> [String]
separateParenGroups paren_string =","separateParenGroups :: String -> [String]
separateParenGroups paren_string = go paren_string 0 [] """" []
  where
    go [] _ _ current acc = if null current then acc else acc ++ [current]
    go (x:xs) depth stack current acc
      | x == ' ' = go xs depth stack current acc
      | x == '(' = go xs (depth + 1) ('(':stack) (current ++ [x]) acc
      | x == ')' =
          let newCurrent = current ++ [x]
              newDepth = depth - 1
          in if newDepth == 0
             then go xs newDepth (tail stack) """" (acc ++ [newCurrent])
             else go xs newDepth (tail stack) newCurrent acc
      | otherwise = error ""Unexpected character""","
main :: IO ()
main = do
  let candidate = separateParenGroups
  if candidate ""(()()) ((())) () ((())()())"" == [""(()())"",""((()))"",""()"",""((())()())""] then pure () else error ""assertion failed""
  if candidate ""() (()) ((())) (((())))"" == [""()"",""(())"",""((()))"",""(((())))""] then pure () else error ""assertion failed""
  if candidate ""(()(())((())))"" == [""(()(())((())))""] then pure () else error ""assertion failed""
  if candidate ""( ) (( )) (( )( ))"" == [""()"",""(())"",""(()())""] then pure () else error ""assertion failed""
  pure ()"
HumanEval_2,ltg_Latn,hs,"--Atdūd skaitļa decimaldaļu. --(pylna daļa vysod mozuoka par 1).--i vasaluo daļa (leluokais vasals skaitlis mozuoks par nūteiktu skaitli) i decimalpunkti --, ja ir pozitivs , var tū izškirēt ,--  >>> truncateNumber 3.5
--  0.5
truncateNumber :: Float -> Float
truncateNumber number =","truncateNumber :: Float -> Float
truncateNumber number = number - fromIntegral (floor number)","
main :: IO ()
main = do
  let candidate = truncateNumber
  if candidate 3.5 == 0.5 then pure () else error ""assertion failed""
  if candidate 1.25 == 0.25 then pure () else error ""assertion failed""
  if candidate 123.0 == 0.0 then pure () else error ""assertion failed""
  pure ()"
HumanEval_3,ltg_Latn,hs,"--itymā punktā funkcejai juobyut patīsai. Cytaidā gadīnī jai juobyut napareigai.--Tev ir juopuorbauda, voi kaidā šaļtī konta saldo krīt zam nulle, i --Teik dots īejis i izīšonys operaceju saroksts bankys kontā, kas suocās ar--  >>> belowZero [1,2,3]
--  False
--  >>> belowZero [1,2,(-4),5]
--  True
belowZero :: [Int] -> Bool
belowZero operations =","belowZero :: [Int] -> Bool
belowZero operations = any (< 0) $ scanl (+) 0 operations","
main :: IO ()
main = do
  let candidate = belowZero
  if candidate [] == False then pure () else error ""assertion failed""
  if candidate [1,2,(-3),1,2,(-3)] == False then pure () else error ""assertion failed""
  if candidate [1,2,(-4),5,6] == True then pure () else error ""assertion failed""
  if candidate [1,(-1),2,(-2),5,(-5),4,(-4)] == False then pure () else error ""assertion failed""
  if candidate [1,(-1),2,(-2),5,(-5),4,(-5)] == True then pure () else error ""assertion failed""
  if candidate [1,(-2),2,(-2),5,(-5),4,(-4)] == True then pure () else error ""assertion failed""
  pure ()"
HumanEval_4,ltg_Latn,hs,"--MAD = vidējais. x - x_means.--elementu i centra punktu (dažaiduokū vidē): --Vydyskais absolutuo atškireiba ir videjuo absolutuo atškireiba storp kotru --Apmāram itūs datu kūpa vidē.--Par nūteiktu īejis skaitļu sarokstu apriekinuot videjū absolutuo atškireibu.--  >>> meanAbsoluteDeviation [1.0,2.0,3.0,4.0]
--  1.0
meanAbsoluteDeviation :: [Float] -> Float
meanAbsoluteDeviation numbers =","meanAbsoluteDeviation :: [Float] -> Float
meanAbsoluteDeviation numbers = sum absoluteDifferences / fromIntegral (length numbers)
  where
    mean = sum numbers / fromIntegral (length numbers)
    absoluteDifferences = map (\x -> abs (x - mean)) numbers","
main :: IO ()
main = do
  let candidate = meanAbsoluteDeviation
  if candidate [1.0,2.0] == 0.5 then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0] == 1.0 then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0,5.0] == 1.2 then pure () else error ""assertion failed""
  pure ()"
HumanEval_5,ltg_Latn,hs,"--∀nūsacejuma saraksta ≠numeru"" kotru divys kuortys elementu vydā īvītuot skaitli ""delimiter"".--  >>> intersperse [] 4
--  []
--  >>> intersperse [1,2,3] 4
--  [1,4,2,4,3]
intersperse :: [Int] -> Int -> [Int]
intersperse numbers delimeter =","intersperse :: [Int] -> Int -> [Int]
intersperse [] _ = []
intersperse [x] _ = [x]
intersperse (x:xs) delimeter = x : delimeter : intersperse xs delimeter","
main :: IO ()
main = do
  let candidate = intersperse
  if candidate [] 7 == [] then pure () else error ""assertion failed""
  if candidate [5,6,3,2] 8 == [5,8,6,8,3,8,2] then pure () else error ""assertion failed""
  if candidate [2,2,2] 2 == [2,2,2,2,2] then pure () else error ""assertion failed""
  pure ()"
HumanEval_6,ltg_Latn,hs,"--Par pīmāru, (() (()) ir maksimāli diveji īkuortuošonys leimiņi, bet ((())) treis. --Kotrai nu grupys izpiļdeit dziļuokū korpusūs īkļautuos lūku īkļaunys leimiņu. --Itys funkcejis īvode ir strings, kas apzeimoj vairuokys grupys, kas ir īkļauti storp parentezem, kas atškir ar atstarpeibom.--  >>> parseNestedParens ""(()()) ((())) () ((())()())""
--  [2,3,1,3]
parseNestedParens :: String -> [Int]
parseNestedParens paren_string =","parseNestedParens :: String -> [Int]
parseNestedParens paren_string = map maxDepth (words paren_string)
  where
    maxDepth :: String -> Int
    maxDepth = go 0 0
      where
        go :: Int -> Int -> String -> Int
        go currentDepth maxDepth [] = maxDepth
        go currentDepth maxDepth (c:cs)
          | c == '('  = go (currentDepth + 1) (max currentDepth maxDepth) cs
          | c == ')'  = go (currentDepth - 1) maxDepth cs
          | otherwise = go currentDepth maxDepth cs","
main :: IO ()
main = do
  let candidate = parseNestedParens
  if candidate ""(()()) ((())) () ((())()())"" == [2,3,1,3] then pure () else error ""assertion failed""
  if candidate ""() (()) ((())) (((())))"" == [1,2,3,4] then pure () else error ""assertion failed""
  if candidate ""(()(())((())))"" == [4] then pure () else error ""assertion failed""
  pure ()"
HumanEval_7,ltg_Latn,hs,"--☐ Filtrēt īejis stringu sarokstu tikai par tim, kas satur nūteiktu apakšsaciņu ☐--  >>> filterBySubstring [] ""a""
--  []
--  >>> filterBySubstring [""abc"",""bacd"",""cde"",""array""] ""a""
--  [""abc"",""bacd"",""array""]
filterBySubstring :: [String] -> String -> [String]
filterBySubstring strings substring =","filterBySubstring :: [String] -> String -> [String]
filterBySubstring strings substring = filter (substring `isInfixOf`) strings
  where isInfixOf = isInfixOf","
main :: IO ()
main = do
  let candidate = filterBySubstring
  if candidate [] ""john"" == [] then pure () else error ""assertion failed""
  if candidate [""xxx"",""asd"",""xxy"",""john doe"",""xxxAAA"",""xxx""] ""xxx"" == [""xxx"",""xxxAAA"",""xxx""] then pure () else error ""assertion failed""
  if candidate [""xxx"",""asd"",""aaaxxy"",""john doe"",""xxxAAA"",""xxx""] ""xx"" == [""xxx"",""aaaxxy"",""xxxAAA"",""xxx""] then pure () else error ""assertion failed""
  if candidate [""grunt"",""trumpet"",""prune"",""gruesome""] ""run"" == [""grunt"",""prune""] then pure () else error ""assertion failed""
  pure ()"
HumanEval_8,ltg_Latn,hs,"--Vyltai summai juobyut 0, i vyltai reizynuojumam juobyut 1.--Lītei, kurā ir vītnīkvuordi, atdūd tupla, kas sastuov nu vītnīkvuordu vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vītnīku vīsni vīsni--  >>> sumProduct []
--  (0, 1)
--  >>> sumProduct [1,2,3,4]
--  (10, 24)
sumProduct :: [Int] -> (Int, Int)
sumProduct numbers =","sumProduct :: [Int] -> (Int, Int)
sumProduct numbers = (sum numbers, product numbers)","
main :: IO ()
main = do
  let candidate = sumProduct
  if candidate [] == (0, 1) then pure () else error ""assertion failed""
  if candidate [1,1,1] == (3, 1) then pure () else error ""assertion failed""
  if candidate [100,0] == (100, 0) then pure () else error ""assertion failed""
  if candidate [3,5,7] == (15, 105) then pure () else error ""assertion failed""
  if candidate [10] == (10, 10) then pure () else error ""assertion failed""
  pure ()"
HumanEval_9,ltg_Latn,hs,"--sekvencejā.--Nu nūteikta vasalūs skaitļu saroksta izveiduosim maksimaluos sasaglobojamuos vītu sarokstu, kas atrostys da nūteiktajam momentam.--  >>> rollingMax [1,2,3,2,3,4,2]
--  [1,2,3,3,3,4,4]
rollingMax :: [Int] -> [Int]
rollingMax numbers =","rollingMax :: [Int] -> [Int]
rollingMax = scanl1 max","
main :: IO ()
main = do
  let candidate = rollingMax
  if candidate [] == [] then pure () else error ""assertion failed""
  if candidate [1,2,3,4] == [1,2,3,4] then pure () else error ""assertion failed""
  if candidate [4,3,2,1] == [4,4,4,4] then pure () else error ""assertion failed""
  if candidate [3,2,3,100,3] == [3,3,3,100,100] then pure () else error ""assertion failed""
  pure ()"
