prompt,canonical_solution,test
"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" ပေးထားသော နံပါတ်စာရင်းတွင် ပေးထားသော နံပါတ်နှစ်လုံးသည် ပေးထားသော ကန့်သတ်မှတ်ချက်ထက် ပိုမိုနီးစပ်နေသည်၊ မရှိကို စစ်ဆေးပါ။ ဥပမာ -
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

"
"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" ဤလုပ်ဆောင်ချက်၏ အဝင်မှာ ကွင်းဆက်အဝိုင်းများပါဝင်သော အုပ်စုပေါင်းများစွာပါဝင်သော string တစ်ခုဖြစ်သည်။ သင့်ရည်ရွယ်ချက်မှာ ထိုအုပ်စုများကို သီးခြား string များအဖြစ်ခွဲခြားပြီး ထိုစာရင်းကိုပြန်ပို့ရန်ဖြစ်သည်။ သီးခြားအုပ်စုများသည် ဟန်ချက်ညီ (ဖွင့်ထားသော brace တစ်ခုစီကို မှန်ကန်စွာပိတ်ထားသည်) နှင့်အချင်းချင်းတွင် ကွင်းဆက်မလုပ်ပါ။ အဝင် string တွင်အကွက်များကို လျစ်လျူရှုပါ။ ဥပမာ:
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
"
"

def truncate_number(number: float) -> float:
    """""" အပေါင်းကိန်းတစ်ခု၏ အပြည့်အစုံအစိတ်အပိုင်း (ပေးထားသောကိန်းထက် ပိုငယ်သော အကြီးဆုံးကိန်းပြည့်) နှင့် ဒသမကိန်း (အမြဲတမ်း ၁ ထက် ပိုငယ်သော ကျန်ရှိသော အစိတ်အပိုင်း) တို့အဖြစ် ခွဲခြားနိုင်သည်။ ဥပမာ:
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
"
"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" ဘဏ်စာရင်းတစ်ခုပေါ်က ငွေသွင်းခြင်းနဲ့ ထုတ်ယူခြင်း လုပ်ငန်းစဉ်စာရင်းကို သုညနဲ့စတင်ပြီး သင်ပေးထားပါတယ်။ သင့်အလုပ်က ငွေစာရင်းရဲ့ အကြွေးဟာ သုညအောက်ကို ကျသွားရင် ရှာဖွေဖို့ပါ။ အဲဒီအချိန်မှာ function က True ပြန်ပေးရပါမယ်။ မဟုတ်ရင် False ပြန်ပေးရပါမယ်။ ဥပမာ:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" ပေးထားသော input နံပါတ်များစာရင်းအတွက်, ဤဒေတာစု၏အလယ်အလတ်ဝန်းကျင်၌ Mean Absolute Deviation ကိုတွက်ပါ။ Mean Absolute Deviation သည်ဒြပ်စင်တစ်ခုနှင့်ဗဟိုအမှတ်တစ်ခု (ဒီကိစ္စတွင်အလယ်အလတ်) ကြားကအခြားနားမှုဖြစ်သည်။ MAD = ပျမ်းမျှ  x - x_mean  ဥပမာ:
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" input list `numbers' ၏ဆက်တိုက် element နှစ်ခုကြားတွင် ""delimiter"" နံပါတ်ကိုထည့်ပါ။
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
"
"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" ဤ function ကို input သည် အစုအဝေးများအတွက် ကွင်းဆင်းအစုအဝေးများအတွက် ကွင်းဆင်းအစုအဝေးများအတွက် ကွင်းဆင်းအစုအဝေးများဖြစ်သည်။ အုပ်စုတစ်ခုစီအတွက် ကွင်းဆင်းအနက်ဆုံးအဆင့်ကို output လုပ်ပါ။ ဥပမာ (() (()) တွင်ကွင်းဆင်းအတန်းနှစ်ခုရှိပြီး ((())) တွင်သုံးခုရှိသည်။

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
"
"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" string တွေရဲ့ input list ကို filter လုပ်ပြီး string တွေထဲမှာ substring တွေပဲ ထည့်ပေးပါ
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
"
"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" ပေးထားသော integer စာရင်းတစ်ခုအတွက်, စာရင်းတစ်ခုထဲက integer အားလုံးရဲ့ ပေါင်းလဒ်နဲ့ ပမာဏတစ်ခုပါဝင်တဲ့ tuple တစ်ခုကို ပြန်ပေးပါ။ အလွတ်ပေါင်းလဒ်ဟာ 0 နဲ့ အလွတ်ပမာဏဟာ 1 နဲ့ ညီမျှသင့်ပါတယ်။
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
"
"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" ပေးထားတဲ့ ကိန်းပြည့်စာရင်းကနေ အစဉ်ထဲက ပေးထားတဲ့ ကာလအထိ တွေ့ရတဲ့ ကျော့ကွင်း အများဆုံး ဒြပ်စင်စာရင်းကို ထုတ်ပေးတယ်။
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
"
