task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,nus_Latn,js,"/ ca ŋun ɛ pek mi̱ ca ŋun./Kɛn kuɛn ɛni̱ mi̱ ca ŋun kä nämbäri̱, ɛni̱ nämbäri̱ rɛw ti̱ thia̱k kɛ rɔ̱ ɛ läny kɛn // >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
// false
// >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
// true
function has_close_elements(numbers, threshold){
","function has_close_elements(numbers, threshold) {
    // First, sort the array to ensure we check adjacency for closest elements
    numbers.sort((a, b) => a - b);

    // Iterate through the sorted list and check differences between successive elements
    for (let i = 0; i < numbers.length - 1; i++) {
        if (Math.abs(numbers[i] - numbers[i + 1]) < threshold) {
            return true;
        }
    }

    return false;
}","const assert = require('node:assert');


function test() {
  let candidate = has_close_elements;
  assert.deepEqual(candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3),true);
  assert.deepEqual(candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05),false);
  assert.deepEqual(candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95),true);
  assert.deepEqual(candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8),false);
  assert.deepEqual(candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1),true);
  assert.deepEqual(candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0),true);
  assert.deepEqual(candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5),false);
}

test();"
HumanEval_1,nus_Latn,js,"/ /Thiɛlɛ mi̱ ca mat rɛy inpuɔɔth string./Kua̱a̱th ti̱ gööl la kɛn rɔ̱ laa pa̱a̱rkɛ (kä bi̱kɛ rɔ̱ la̱th gua̱a̱th kɛl) kä /ci̱kɛ rɔ̱ laa mat kɛɛl./ca̱a̱p tin ca mat kä ca̱a̱p ti̱ti̱ da̱a̱k kä luɔ̱c kɛn ɛthtra̱n./Input kä pa̱ŋciin ɛmɛ ɛ la̱t mi̱ tekɛ bun ti̱ ŋuan ti̱ ca mat kɛ parentheses.// >>> separate_paren_groups(""( ) (( )) (( )( ))"")
// [""()"", ""(())"", ""(()())""]
function separate_paren_groups(paren_string){
","function separate_paren_groups(paren_string) {
    paren_string = paren_string.replace(/\s+/g, ''); // Remove spaces
    const groups = [];
    let balance = 0;
    let currentGroup = '';

    for (let char of paren_string) {
        currentGroup += char;
        if (char === '(') {
            balance++;
        } else if (char === ')') {
            balance--;
        }
        
        if (balance === 0) {
            groups.push(currentGroup);
            currentGroup = '';
        }
    }

    return groups;
}","const assert = require('node:assert');


function test() {
  let candidate = separate_paren_groups;
  assert.deepEqual(candidate(""(()()) ((())) () ((())()())""),[""(()())"", ""((()))"", ""()"", ""((())()())""]);
  assert.deepEqual(candidate(""() (()) ((())) (((())))""),[""()"", ""(())"", ""((()))"", ""(((())))""]);
  assert.deepEqual(candidate(""(()(())((())))""),[""(()(())((())))""]);
  assert.deepEqual(candidate(""( ) (( )) (( )( ))""),[""()"", ""(())"", ""(()())""]);
}

test();"
HumanEval_2,nus_Latn,js,"/ Läthni̱ decimal part duŋ nämbärä. / (cu tha̱a̱ŋdɛ min ci̱ duɔth ɛ mi̱ tɔt ni̱ ciaaŋ mi̱ kuiy ni̱ jɛn kä 1)./ kɛnɛ intejeri̱ tin te gua̱thdiɛn (in la intejeri̱ tin di̱t kä kuiyni̱kɛn kä nämbäri̱ tin ca ŋun) kɛnɛ deci̱malni̱ /Mi̱ ca ŋun kä puɔ̱thi̱tip in la pi̱öthi̱tib in la pi̱öthi̱tib in la pi̱öthi̱tib, jɛn ba da̱a̱k kä // >>> truncate_number(3.5)
// 0.5
function truncate_number(number){
","function truncate_number(number) {
    return number - Math.floor(number);
}","const assert = require('node:assert');


function test() {
  let candidate = truncate_number;
  assert.deepEqual(candidate(3.5),0.5);
  assert.deepEqual(candidate(1.25),0.25);
  assert.deepEqual(candidate(123.0),0.0);
}

test();"
HumanEval_3,nus_Latn,js,"/rɛy ɛmɔ bi̱ la̱t ɛmɔ dhil loc ni̱ thuɔ̱k. mi̱ /ci̱e̱ jɛn bɛ loc ni̱ kac./ zero balance. La̱tdu ɛ ɣöö bi̱ ji̱ek mi̱ ci̱ pek yio̱o̱ni̱ rɛy account (kuɔ̱l) bɛ pɛn piny dhɛrö, kɛnɛ /Ca ji̱ moc kɛ pek mi̱ di̱i̱t kɛ kui̱ yi̱o̱wni̱ kɛnɛ yuɔ̱p yio̱o̱ni̱ kä kuën ba̱nk mi̱ tokɛ kɛ // >>> below_zero([1, 2, 3])
// false
// >>> below_zero([1, 2, -4, 5])
// true
function below_zero(operations){
","function below_zero(operations) {
    let balance = 0;
    for (let i = 0; i < operations.length; i++) {
        balance += operations[i];
        if (balance < 0) {
            return true;
        }
    }
    return false;
}","const assert = require('node:assert');


function test() {
  let candidate = below_zero;
  assert.deepEqual(candidate([]),false);
  assert.deepEqual(candidate([1, 2, -3, 1, 2, -3]),false);
  assert.deepEqual(candidate([1, 2, -4, 5, 6]),true);
  assert.deepEqual(candidate([1, -1, 2, -2, 5, -5, 4, -4]),false);
  assert.deepEqual(candidate([1, -1, 2, -2, 5, -5, 4, -5]),true);
  assert.deepEqual(candidate([1, -2, 2, -2, 5, -5, 4, -4]),true);
}

test();"
HumanEval_4,nus_Latn,js,"/ MAD = average  x - x_mean / ɛlɛmɛni̱ kɛnɛ däär (mi̱e̱e̱n rɛy kä nɛmɛ): / Mean Absolute Deviation ɛ jɛn in te dääk kamdiɛn / räthdɛ kä däär dataɛtni̱ ti̱ti̱./Kɛ ɣöö ba nämbäri̱ tin ca ŋun la̱th thi̱n, ba Mean Absolute Deviation (mi̱ ca ŋun) duäc// >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
// 1.0
function mean_absolute_deviation(numbers){
","function mean_absolute_deviation(numbers) {
    const n = numbers.length;
    if (n === 0) return 0;

    const mean = numbers.reduce((acc, val) => acc + val, 0) / n;
    const deviations = numbers.map(num => Math.abs(num - mean));
    const mad = deviations.reduce((acc, val) => acc + val, 0) / n;

    return mad;
}

// Example usage:
console.log(mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])); // Output: 1.0","const assert = require('node:assert');


function test() {
  let candidate = mean_absolute_deviation;
  assert.deepEqual(candidate([1.0, 2.0]),0.5);
  assert.deepEqual(candidate([1.0, 2.0, 3.0, 4.0]),1.0);
  assert.deepEqual(candidate([1.0, 2.0, 3.0, 4.0, 5.0]),1.2);
}

test();"
HumanEval_5,nus_Latn,js,"/Cu nämbär 'delimeter' mat kamni̱ rɛw tin guɔ̱rkɛ rɔ̱ kä inpuut array ∀numbers' // >>> intersperse([], 4)
// []
// >>> intersperse([1, 2, 3], 4)
// [1, 4, 2, 4, 3]
function intersperse(numbers, delimeter){
","function intersperse(numbers, delimiter) {
    if (numbers.length === 0) return [];
    
    const result = [];
    for (let i = 0; i < numbers.length - 1; i++) {
        result.push(numbers[i]);
        result.push(delimiter);
    }
    result.push(numbers[numbers.length - 1]);

    return result;
}","const assert = require('node:assert');


function test() {
  let candidate = intersperse;
  assert.deepEqual(candidate([], 7),[]);
  assert.deepEqual(candidate([5, 6, 3, 2], 8),[5, 8, 6, 8, 3, 8, 2]);
  assert.deepEqual(candidate([2, 2, 2], 2),[2, 2, 2, 2, 2]);
}

test();"
HumanEval_6,nus_Latn,js,"/ C.d. (() (()) tekɛ pek mi̱ bäär kä rɛw kä bi̱kɛ rɔ̱ mat gua̱th in bi̱kɛ te thi̱n kä ((())) tekɛ diɔ̱k. / Kɛ kui̱ bunä kɛl, bɛ kulɛ ben raar ɛ la mi̱ te piny ɛlɔ̱ŋ kä ca la̱th kɛ yiɛth piny./Input kä pa̱ŋciin ɛmɛ ɛ la̱t mi̱ cuŋ ɛ la mi̱ ca la̱t ɛ bun ti̱ ŋuan kɛ kui̱ kä tin ca la̱th kä nyin parenteethethethni̱ tin ca da̱a̱k ɛ i̱thpëth.// >>> parse_nested_parens(""(()()) ((())) () ((())()())"")
// [2, 3, 1, 3]
function parse_nested_parens(paren_string){
","function parse_nested_parens(paren_string) {
    // Split the input string into groups based on spaces
    const groups = paren_string.split(' ');
    // Map each group to its maximum nesting depth
    return groups.map(group => {
        let maxDepth = 0;
        let currentDepth = 0;

        // Iterate through each character in the group
        for (let char of group) {
            if (char === '(') {
                // Increment current depth for '('
                currentDepth++;
                // Update max depth if it's greater than the previous max
                if (currentDepth > maxDepth) {
                    maxDepth = currentDepth;
                }
            } else if (char === ')') {
                // Decrement current depth for ')'
                currentDepth--;
            }
        }
        
        return maxDepth; // Return max depth of this group
    });
}","const assert = require('node:assert');


function test() {
  let candidate = parse_nested_parens;
  assert.deepEqual(candidate(""(()()) ((())) () ((())()())""),[2, 3, 1, 3]);
  assert.deepEqual(candidate(""() (()) ((())) (((())))""),[1, 2, 3, 4]);
  assert.deepEqual(candidate(""(()(())((())))""),[4]);
}

test();"
HumanEval_7,nus_Latn,js,"/Cu thärkä in ca la̱th rɛy matdä ɛ la mi̱ tekɛ tha̱bthɛrn mi̱ ca ŋun.// >>> filter_by_substring([], ""a"")
// []
// >>> filter_by_substring([""abc"", ""bacd"", ""cde"", ""array""], ""a"")
// [""abc"", ""bacd"", ""array""]
function filter_by_substring(strings, substring){
","function filter_by_substring(strings, substring) {
    return strings.filter(str => str.includes(substring));
}","const assert = require('node:assert');


function test() {
  let candidate = filter_by_substring;
  assert.deepEqual(candidate([], ""john""),[]);
  assert.deepEqual(candidate([""xxx"", ""asd"", ""xxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xxx""),[""xxx"", ""xxxAAA"", ""xxx""]);
  assert.deepEqual(candidate([""xxx"", ""asd"", ""aaaxxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xx""),[""xxx"", ""aaaxxy"", ""xxxAAA"", ""xxx""]);
  assert.deepEqual(candidate([""grunt"", ""trumpet"", ""prune"", ""gruesome""], ""run""),[""grunt"", ""prune""]);
}

test();"
HumanEval_8,nus_Latn,js,"/ Empty sum bɛ yi̱k pa̱a̱r kɛ 0 kɛnɛ ɣöö bɛ yi̱k pa̱a̱r kɛ dɛ bɛ pa̱a̱r kɛ 1./Kɛ ta̱a̱ in ca ŋun kä intejeri̱, locni̱ arrɛy mi̱ tekɛ mat kɛnɛ min ca nööŋ ɛ intejeri̱ diaal rɛy arrɛy.// >>> sum_product([])
// [0, 1]
// >>> sum_product([1, 2, 3, 4])
// [10, 24]
function sum_product(numbers){
","function sum_product(numbers) {
    let sum = 0;
    let product = 1;

    for (let i = 0; i < numbers.length; i++) {
        sum += numbers[i];
        product *= numbers[i];
    }

    return [sum, product];
}","const assert = require('node:assert');


function test() {
  let candidate = sum_product;
  assert.deepEqual(candidate([]),[0, 1]);
  assert.deepEqual(candidate([1, 1, 1]),[3, 1]);
  assert.deepEqual(candidate([100, 0]),[100, 0]);
  assert.deepEqual(candidate([3, 5, 7]),[15, 105]);
  assert.deepEqual(candidate([10]),[10, 10]);
}

test();"
HumanEval_9,nus_Latn,js,"/ rɛy gua̱th in ci̱ rɔ lot thi̱n. /Thi̱n mi̱ ca ŋun kä intɛrjiɛr array, la̱t kɛ jɛ ɛ la array mi̱ la rolli̱ing ɛlɛmɛni̱ tin di̱t tin ca jiek ɛ wä ni̱ kä min ca ŋun.// >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
// [1, 2, 3, 3, 3, 4, 4]
function rolling_max(numbers){
","function rolling_max(numbers) {
    let result = [];
    let currentMax = Number.NEGATIVE_INFINITY;
    for (let i = 0; i < numbers.length; i++) {
        currentMax = Math.max(currentMax, numbers[i]);
        result.push(currentMax);
    }
    return result;
}","const assert = require('node:assert');


function test() {
  let candidate = rolling_max;
  assert.deepEqual(candidate([]),[]);
  assert.deepEqual(candidate([1, 2, 3, 4]),[1, 2, 3, 4]);
  assert.deepEqual(candidate([4, 3, 2, 1]),[4, 4, 4, 4]);
  assert.deepEqual(candidate([3, 2, 3, 100, 3]),[3, 3, 3, 100, 100]);
}

test();"
