task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,knc_Arab,lua,"- عَتَبَةٌ مَعْطُوَةٌ- تَفَقَّدْ إنْ كَانَ في جدولِ الأرقامِ، أيّ رقمين أقربَ مِنْ بعضِهما أكثر مِنْ -- >>> has_close_elements({1.0, 2.0, 3.0}, 0.5)
-- false
-- >>> has_close_elements({1.0, 2.8, 3.0, 4.0, 5.0, 2.0}, 0.3)
-- true
local function has_close_elements(numbers, threshold)
","local function has_close_elements(numbers, threshold)
    for i = 1, #numbers do
        for j = i + 1, #numbers do
            if math.abs(numbers[i] - numbers[j]) < threshold then
                return true
            end
        end
    end
    return false
end","lu = require('luaunit')

function test_humaneval()
local candidate = has_close_elements
    lu.assertEquals(candidate({1.0, 2.0, 3.9, 4.0, 5.0, 2.2}, 0.3), true)
    lu.assertEquals(candidate({1.0, 2.0, 3.9, 4.0, 5.0, 2.2}, 0.05), false)
    lu.assertEquals(candidate({1.0, 2.0, 5.9, 4.0, 5.0}, 0.95), true)
    lu.assertEquals(candidate({1.0, 2.0, 5.9, 4.0, 5.0}, 0.8), false)
    lu.assertEquals(candidate({1.0, 2.0, 3.0, 4.0, 5.0, 2.0}, 0.1), true)
    lu.assertEquals(candidate({1.1, 2.2, 3.1, 4.1, 5.1}, 1.0), true)
    lu.assertEquals(candidate({1.1, 2.2, 3.1, 4.1, 5.1}, 0.5), false)
end

os.exit(lu.LuaUnit.run())"
HumanEval_1,knc_Arab,lua,"- تَجَاهَلْ أَيّ فُرُوج فِي سِلْسِلَةِ الإِدْخَال.- المَجموعاتُ المُفَرَّدَةُ مُتَوازنَةٌ (كُلُّ مُقَلَّدٍ مَفْتُوحٍ مُغْلَقٌ بِحَقٍّ) وَلاَ تَتَعَشَّشُ بَعْضُهَا فِي بَعْضٍ- يُفَرِّقُ هَؤُلاءِ المَجموعاتَ إلى سِلَالَاتٍ مُفَرَّقَةٍ وَيَرُدُّ الجدولَ مِنْ هَؤُلاءِ.- دَخَلَتْ هَذِهِ الوَظِيفَةُ سِلْسِلَةٌ مَوْجُودَةٌ بِجَمَاعَاتٍ مِنْ قُرُونٍ مُتَعَدِّدَةٍ.-- >>> separate_paren_groups('( ) (( )) (( )( ))')
-- {'()', '(())', '(()())'}
local function separate_paren_groups(paren_string)
","local function separate_paren_groups(paren_string)
    local result = {}
    local balance = 0
    local current_group = {}

    for i = 1, #paren_string do
        local char = paren_string:sub(i, i)
        
        if char == '(' then
            balance = balance + 1
        elseif char == ')' then
            balance = balance - 1
        end

        if char ~= ' ' then
            table.insert(current_group, char)
        end
        
        if balance == 0 and #current_group > 0 then
            table.insert(result, table.concat(current_group))
            current_group = {}
        end
    end

    return result
end","lu = require('luaunit')

function test_humaneval()
local candidate = separate_paren_groups
    lu.assertEquals(candidate('(()()) ((())) () ((())()())'), {'(()())', '((()))', '()', '((())()())'})
    lu.assertEquals(candidate('() (()) ((())) (((())))'), {'()', '(())', '((()))', '(((())))'})
    lu.assertEquals(candidate('(()(())((())))'), {'(()(())((())))'})
    lu.assertEquals(candidate('( ) (( )) (( )( ))'), {'()', '(())', '(()())'})
end

os.exit(lu.LuaUnit.run())"
HumanEval_2,knc_Arab,lua,"- ارْجِعْ بِالْعُشْرِيَّةِ مِنْ الْعَدَدِ(بَاقِيَةُ الْجُزْءِ دَائِمًا أَصْغَرُ مِنْ 1).- وَجُزْءُ عَدَدٍ سَمِيْرٍ (أَكْبَرُ عَدَدٍ سَمِيْرٍ أَصْغَرُ مِنْ عَدَدٍ مَعْطُوْدٍ)- مُعْطَى عَدَدَ مُوجِبٍ مُتَعَدِّدٍ، يُمْكِنُ تَحْلِيلُهُ إلى -- >>> truncate_number(3.5)
-- 0.5
local function truncate_number(number)
","local function truncate_number(number)
    local integer_part = math.floor(number)
    local decimal_part = number - integer_part
    return decimal_part
end","lu = require('luaunit')

function test_humaneval()
local candidate = truncate_number
    lu.assertEquals(candidate(3.5), 0.5)
    lu.assertEquals(candidate(1.25), 0.25)
    lu.assertEquals(candidate(123.0), 0.0)
end

os.exit(lu.LuaUnit.run())"
HumanEval_3,knc_Arab,lua,"- فِي تِلْكَ النَّقطَةِ تَجِبُ أَنْ تَرُدَّ الصَّحِيحَ. وَإِلاَّ فَتَرُدُّ الصَّحِيحَ.مَهْمَا تَكُونُ مَوَازِينُكَ فَهِيَ أَنْ تَكْشِفَ إِذَا انْخَفَضَتْ رَصِيدُ الحِسَابِ إِلَى دُونِ الصِفَةِ، وَ- تُعْطَى لَكَ جَدَلَةُ إيداعِ وَ سَحْبِ العملياتِ في حسابِ بنكي يَبْدأُ بِ-- >>> below_zero({1, 2, 3})
-- false
-- >>> below_zero({1, 2, -4, 5})
-- true
local function below_zero(operations)
","local function below_zero(operations)
    local balance = 0
    for _, operation in ipairs(operations) do
        balance = balance + operation
        if balance < 0 then
            return true
        end
    end
    return false
end","lu = require('luaunit')

function test_humaneval()
local candidate = below_zero
    lu.assertEquals(candidate({}), false)
    lu.assertEquals(candidate({1, 2, -3, 1, 2, -3}), false)
    lu.assertEquals(candidate({1, 2, -4, 5, 6}), true)
    lu.assertEquals(candidate({1, -1, 2, -2, 5, -5, 4, -4}), false)
    lu.assertEquals(candidate({1, -1, 2, -2, 5, -5, 4, -5}), true)
    lu.assertEquals(candidate({1, -2, 2, -2, 5, -5, 4, -4}), true)
end

os.exit(lu.LuaUnit.run())"
HumanEval_4,knc_Arab,lua,"- مَدْ = مَدَدْ. x - x_مَدَدْ. - عنصر وَنُقطة مركزية (مَعْنَى فِي هَذِهِ الحَالِ):- يَعْنِي الإِبْتِعَادَةَ المُطْلَقَةَ فِي الْمُتَعَدِّدِينَ- حَوْلَ مَعْنَى هَذِهِ المَوْضُوعَةِ.لِجَدَلِ مَعْطُوْدِ أَرْقَامِ الدَّخْلِ، حَسْبُوا الْمُتَعَدِّدَ الْمُطْلَقَ-- >>> mean_absolute_deviation({1.0, 2.0, 3.0, 4.0})
-- 1.0
local function mean_absolute_deviation(numbers)
","local function mean_absolute_deviation(numbers)
    local sum = 0
    local count = #numbers
    
    -- Calculate the mean
    for _, number in ipairs(numbers) do
        sum = sum + number
    end
    local mean = sum / count
    
    -- Calculate the mean absolute deviation
    local total_deviation = 0
    for _, number in ipairs(numbers) do
        total_deviation = total_deviation + math.abs(number - mean)
    end
    
    return total_deviation / count
end

-- Example usage
-- print(mean_absolute_deviation({1.0, 2.0, 3.0, 4.0})) -- Output: 1.0","lu = require('luaunit')

function test_humaneval()
local candidate = mean_absolute_deviation
    lu.assertEquals(candidate({1.0, 2.0}), 0.5)
    lu.assertEquals(candidate({1.0, 2.0, 3.0, 4.0}), 1.0)
    lu.assertEquals(candidate({1.0, 2.0, 3.0, 4.0, 5.0}), 1.2)
end

os.exit(lu.LuaUnit.run())"
HumanEval_5,knc_Arab,lua,"- أَدْخِلْ عَدَدَ ""مُبَاعِدٍ"" بَيْنَ كُلِّ عَنْصَرَيْنِ مُتَتَابِعَيْنِ مِنْ جَدَلِ الإِدْخَالِ ∀أَعْدَادَ"" -- >>> intersperse({}, 4)
-- {}
-- >>> intersperse({1, 2, 3}, 4)
-- {1, 4, 2, 4, 3}
local function intersperse(numbers, delimeter)
","local function intersperse(numbers, delimeter)
    local result = {}
    for i = 1, #numbers do
        table.insert(result, numbers[i])
        if i < #numbers then
            table.insert(result, delimeter)
        end
    end
    return result
end","lu = require('luaunit')

function test_humaneval()
local candidate = intersperse
    lu.assertEquals(candidate({}, 7), {})
    lu.assertEquals(candidate({5, 6, 3, 2}, 8), {5, 8, 6, 8, 3, 8, 2})
    lu.assertEquals(candidate({2, 2, 2}, 2), {2, 2, 2, 2, 2})
end

os.exit(lu.LuaUnit.run())"
HumanEval_6,knc_Arab,lua,"- مِثْلَ (() (()) لَهُ كَثِيرُهُمَا مَرَاتِبُ التَّعَشُّشِ وَلِ ((())) ثَلَاثٌ.- لِكُلِّ مِنْ المَجموعَةِ، أَخْرِجْ أَعْمَقَ مَستوى عُشْبِ الأقواسِ.- دَخَلَتْ هَذِهِ الوَظِيفَةُ سِلْسِلَةٌ تَمْثِلُ جَمَاعَاتٍ لِقُفُودٍ مُتَوَسِّطَةٍ مُفَرَّقَةٍ بِسَفَرٍ.-- >>> parse_nested_parens('(()()) ((())) () ((())()())')
-- {2, 3, 1, 3}
local function parse_nested_parens(paren_string)
","local function parse_nested_parens(paren_string)
    local results = {}
    for group in paren_string:gmatch(""%S+"") do
        local max_depth = 0
        local current_depth = 0
        for char in group:gmatch(""."") do
            if char == '(' then
                current_depth = current_depth + 1
                if current_depth > max_depth then
                    max_depth = current_depth
                end
            elseif char == ')' then
                current_depth = current_depth - 1
            end
        end
        table.insert(results, max_depth)
    end
    return results
end","lu = require('luaunit')

function test_humaneval()
local candidate = parse_nested_parens
    lu.assertEquals(candidate('(()()) ((())) () ((())()())'), {2, 3, 1, 3})
    lu.assertEquals(candidate('() (()) ((())) (((())))'), {1, 2, 3, 4})
    lu.assertEquals(candidate('(()(())((())))'), {4})
end

os.exit(lu.LuaUnit.run())"
HumanEval_7,knc_Arab,lua,"- تَفْلِتْرُ جَدَلَ إِدْخَالِ سَلاَسِلِ مَا يَتَضَمَّنُ سُلْطَةً مَعْطُوفَةً-- >>> filter_by_substring({}, 'a')
-- {}
-- >>> filter_by_substring({'abc', 'bacd', 'cde', 'array'}, 'a')
-- {'abc', 'bacd', 'array'}
local function filter_by_substring(strings, substring)
","local function filter_by_substring(strings, substring)
    local result = {}
    for _, str in ipairs(strings) do
        if string.find(str, substring) then
            table.insert(result, str)
        end
    end
    return result
end","lu = require('luaunit')

function test_humaneval()
local candidate = filter_by_substring
    lu.assertEquals(candidate({}, 'john'), {})
    lu.assertEquals(candidate({'xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'}, 'xxx'), {'xxx', 'xxxAAA', 'xxx'})
    lu.assertEquals(candidate({'xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'}, 'xx'), {'xxx', 'aaaxxy', 'xxxAAA', 'xxx'})
    lu.assertEquals(candidate({'grunt', 'trumpet', 'prune', 'gruesome'}, 'run'), {'grunt', 'prune'})
end

os.exit(lu.LuaUnit.run())"
HumanEval_8,knc_Arab,lua,"- المُجْمَلُ الفارِغُ يَجِبُ أَنْ يَكُونَ 0 وَالمُنتَجُ الفارِغُ يَجِبُ أَنْ يَكُونَ 1.- لِجَدَلِ مَعْطُوفٍ مِنْ الأَصْحَابِ، ارْجِعْ جَدَلًا مِنْ جُمْلَةٍ وَجَزِيرَةٍ لِجَمِيعِ الأَصْحَابِ فِي جَدَلٍ.-- >>> sum_product({})
-- {0, 1}
-- >>> sum_product({1, 2, 3, 4})
-- {10, 24}
local function sum_product(numbers)
","local function sum_product(numbers)
    local sum = 0
    local product = 1

    for _, number in ipairs(numbers) do
        sum = sum + number
        product = product * number
    end

    return {sum, product}
end","lu = require('luaunit')

function test_humaneval()
local candidate = sum_product
    lu.assertEquals(candidate({}), {0, 1})
    lu.assertEquals(candidate({1, 1, 1}), {3, 1})
    lu.assertEquals(candidate({100, 0}), {100, 0})
    lu.assertEquals(candidate({3, 5, 7}), {15, 105})
    lu.assertEquals(candidate({10}), {10, 10})
end

os.exit(lu.LuaUnit.run())"
HumanEval_9,knc_Arab,lua,"- فِي التَّتَابُعِ.مِنْ جَدَلِ أَعْدَادٍ مُعَيَّنَةٍ، جَلِّدْ جَدَلَ أَكْثَرِ عَنْصَرَةٍ مُتَدَحْرِجَةٍ تُوجَدُ إِلَى حَالٍ مُعَيَّنَةٍ.-- >>> rolling_max({1, 2, 3, 2, 3, 4, 2})
-- {1, 2, 3, 3, 3, 4, 4}
local function rolling_max(numbers)
","local function rolling_max(numbers)
    local result = {}
    local max_so_far = numbers[1]
    
    for i = 1, #numbers do
        if numbers[i] > max_so_far then
            max_so_far = numbers[i]
        end
        table.insert(result, max_so_far)
    end
    
    return result
end","lu = require('luaunit')

function test_humaneval()
local candidate = rolling_max
    lu.assertEquals(candidate({}), {})
    lu.assertEquals(candidate({1, 2, 3, 4}), {1, 2, 3, 4})
    lu.assertEquals(candidate({4, 3, 2, 1}), {4, 4, 4, 4})
    lu.assertEquals(candidate({3, 2, 3, 100, 3}), {3, 3, 3, 100, 100})
end

os.exit(lu.LuaUnit.run())"
