task_id,nl,pl,prompt,canonical_solutions,test
HumanEval/0,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Gät na tɔ̈u nambaai ke ye nambaai ke rou thiääk kenë nambaai kɔ̈k ke ye nambaai ke rou thiääk kenë nambaai kɔ̈k ke ye nambaai ke rou thiääk kenë nambaai ke rou. >>> has_close_elements{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}{n}}{n}{n}{n}}{n}{n}}{n}}{n}}{n}{n}{n}}}}{n}}}}{n}}}{n}{n}}}}}{n}{n}}}{n}{n}}}}{n}}{n}}{n}}}{n}}}}}{n}}}}{n}}{n}}{n}}}}{n}}}}}{n}}}}{n}}}{n}}}}}{n}}}}}{n}}}{n}}}
bool has_close_elements(std::vector<float> numbers, float threshold) {
","bool has_close_elements(std::vector<float> numbers, float threshold) {
    std::sort(numbers.begin(), numbers.end());  // Sort the numbers in ascending order
    for (size_t i = 1; i < numbers.size(); i++) {
        if (std::abs(numbers[i] - numbers[i - 1]) < threshold) {
            return true;
        }
    }
    return false;
}","}
int main() {
    auto candidate = has_close_elements;
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.9f, (float)4.0f, (float)5.0f, (float)2.2f})), (0.3f)) == (true));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.9f, (float)4.0f, (float)5.0f, (float)2.2f})), (0.05f)) == (false));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)5.9f, (float)4.0f, (float)5.0f})), (0.95f)) == (true));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)5.9f, (float)4.0f, (float)5.0f})), (0.8f)) == (false));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.0f})), (0.1f)) == (true));
    assert(candidate((std::vector<float>({(float)1.1f, (float)2.2f, (float)3.1f, (float)4.1f, (float)5.1f})), (1.0f)) == (true));
    assert(candidate((std::vector<float>({(float)1.1f, (float)2.2f, (float)3.1f, (float)4.1f, (float)5.1f})), (0.5f)) == (false));
}
"
HumanEval/1,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Kë ye këde luɔ̈ɔ̈i ee yen këde yic, ku ye yic naŋ akuɔ̈tnhïïm juëc ke kä ye kek mat yiic ku ye ke cɔl 'string' ku ye keek cɔl 'vector' ku ye kek cɔl 'string' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye keek cɔl 'vector' ku ye kek cɔl 'vector' ku ye kek cɔl 'vector' ku ye kek cɔl 'vector' ku ye kek cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku cɔl 'vector' ku ku ku ku ku ku cɔl 'vector' ku ku ku ku ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector' ku 'vector'
std::vector<std::string> separate_paren_groups(std::string paren_string) {
","std::vector<std::string> separate_paren_groups(std::string paren_string) {
    std::vector<std::string> groups;
    std::string current_group;
    int balance = 0;

    for (char ch : paren_string) {
        if (ch == ' ') continue;  // Ignore spaces

        current_group += ch;
        if (ch == '(') {
            balance++;
        } else if (ch == ')') {
            balance--;
            if (balance == 0) {  // Found a balanced group
                groups.push_back(current_group);
                current_group.clear();
            }
        }
    }

    return groups;
}","}
int main() {
    auto candidate = separate_paren_groups;
    assert(candidate((""(()()) ((())) () ((())()())"")) == (std::vector<std::string>({(std::string)""(()())"", (std::string)""((()))"", (std::string)""()"", (std::string)""((())()())""})));
    assert(candidate((""() (()) ((())) (((())))"")) == (std::vector<std::string>({(std::string)""()"", (std::string)""(())"", (std::string)""((()))"", (std::string)""(((())))""})));
    assert(candidate((""(()(())((())))"")) == (std::vector<std::string>({(std::string)""(()(())((())))""})));
    assert(candidate((""( ) (( )) (( )( ))"")) == (std::vector<std::string>({(std::string)""()"", (std::string)""(())"", (std::string)""(()())""})));
}
"
HumanEval/2,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Gämë nimira de kë ye cɔl positive floating point, alëu bï ya tekic në nimira de integer (nïra dït apɛi koor ke nimira cï gäm) ku decimals (nïra döŋ piny ëyadɛ̈ koor ke 1).
float truncate_number(float number) {
","float truncate_number(float number) {
    return number - std::floor(number);
}","}
int main() {
    auto candidate = truncate_number;
    assert(candidate((3.5f)) == (0.5f));
    assert(candidate((1.25f)) == (0.25f));
    assert(candidate((123.0f)) == (0.0f));
}
"
HumanEval/3,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Yïn acï gäm vector de wëu tɔ̈ɔ̈u ku wëu ye nyaai në aköt de bän de bank ku ye jɔɔk në kë cïn kë tɔ̈u thïn. Luɔidu ee ba ŋic na tɔ̈u kë tɔ̈u në aköt yic piny de zero, ku në ye thaa kën yic ke function adhil dhuk true. Na cie këya ka dhil dhuk false. >>> below_zero{(std::vector<long>{(long) 1, (long) 2, (long) 3}))) (false) >>> below_zero{(std::vector<long>{(long) 1, (long) 2, (long) -4, (long) 5}))) (true)
bool below_zero(std::vector<long> operations) {
","bool below_zero(std::vector<long> operations) {
    long balance = 0;
    for (long op : operations) {
        balance += op;
        if (balance < 0) {
            return true;
        }
    }
    return false;
}","}
int main() {
    auto candidate = below_zero;
    assert(candidate((std::vector<long>())) == (false));
    assert(candidate((std::vector<long>({(long)1, (long)2, (long)-3, (long)1, (long)2, (long)-3}))) == (false));
    assert(candidate((std::vector<long>({(long)1, (long)2, (long)-4, (long)5, (long)6}))) == (true));
    assert(candidate((std::vector<long>({(long)1, (long)-1, (long)2, (long)-2, (long)5, (long)-5, (long)4, (long)-4}))) == (false));
    assert(candidate((std::vector<long>({(long)1, (long)-1, (long)2, (long)-2, (long)5, (long)-5, (long)4, (long)-5}))) == (true));
    assert(candidate((std::vector<long>({(long)1, (long)-2, (long)2, (long)-2, (long)5, (long)-5, (long)4, (long)-4}))) == (true));
}
"
HumanEval/4,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Në ye mɛn ke ye vector de kä ye kek tääu thïn, ke ka ye cɔl Mean Absolute Deviation ye yök në kë de kë ye cɔl mean de kä cï kek tääu thïn. Mean Absolute Deviation ee kë ye cɔl average absolute difference kaam de kä cï kek tääu thïn ku jɔl ya kë ye cɔl centerpoint (në kë de kën): MAD = average █████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
float mean_absolute_deviation(std::vector<float> numbers) {
","float mean_absolute_deviation(std::vector<float> numbers) {
    float mean = std::accumulate(numbers.begin(), numbers.end(), 0.0f) / numbers.size();
    float mad = std::accumulate(numbers.begin(), numbers.end(), 0.0f, 
                                [mean](float sum, float x) { return sum + std::abs(x - mean); }) 
                / numbers.size();
    return mad;
}","}
int main() {
    auto candidate = mean_absolute_deviation;
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f}))) == (0.5f));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f}))) == (1.0f));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f}))) == (1.2f));
}
"
HumanEval/5,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Gäm nimira 'delimeter' kam käkë rou cï röt bɛ̈n cök në kä ye kek tääu thïn `numbers' >>> intersperse((std::vector<long>()), (4)) (std::vector<long>()) >>> intersperse((std::vector<long>({long) 1, (long) 2, (long) 3}), (4)) (std::vector<long>({long) 1, (long) 4, (long) 2, (long) 4, (long) 3}))
std::vector<long> intersperse(std::vector<long> numbers, long delimeter) {
","std::vector<long> intersperse(std::vector<long> numbers, long delimeter) {
    if (numbers.empty()) return numbers;

    std::vector<long> result;
    for (size_t i = 0; i < numbers.size(); i++) {
        result.push_back(numbers[i]);
        if (i < numbers.size() - 1) {
            result.push_back(delimeter);
        }
    }
    return result;
}","}
int main() {
    auto candidate = intersperse;
    assert(candidate((std::vector<long>()), (7)) == (std::vector<long>()));
    assert(candidate((std::vector<long>({(long)5, (long)6, (long)3, (long)2})), (8)) == (std::vector<long>({(long)5, (long)8, (long)6, (long)8, (long)3, (long)8, (long)2})));
    assert(candidate((std::vector<long>({(long)2, (long)2, (long)2})), (2)) == (std::vector<long>({(long)2, (long)2, (long)2, (long)2, (long)2})));
}
"
HumanEval/6,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Input to this function is a string represented multiple groups for nested parentheses separated by spaces. For each of the group, output the deepest level of nesting of parentheses. E.g. (() (()) has maximum two levels of nesting while ((())) has three. >>> parse_nested_parens (((""(())) ((())) () ((()))))) (std::vector<long>({(long) 2, (long) 3, (long) 1, (long) 3}))
std::vector<long> parse_nested_parens(std::string paren_string) {
","std::vector<long> parse_nested_parens(std::string paren_string) {
    std::vector<long> depths;
    long current_depth = 0, max_depth = 0;

    for (char ch : paren_string) {
        if (ch == ' ') {
            if (max_depth > 0) {
                depths.push_back(max_depth);
                max_depth = 0;
            }
            current_depth = 0;
        } else if (ch == '(') {
            current_depth++;
            max_depth = std::max(max_depth, current_depth);
        } else if (ch == ')') {
            current_depth--;
        }
    }

    if (max_depth > 0) {
        depths.push_back(max_depth);
    }

    return depths;
}","}
int main() {
    auto candidate = parse_nested_parens;
    assert(candidate((""(()()) ((())) () ((())()())"")) == (std::vector<long>({(long)2, (long)3, (long)1, (long)3})));
    assert(candidate((""() (()) ((())) (((())))"")) == (std::vector<long>({(long)1, (long)2, (long)3, (long)4})));
    assert(candidate((""(()(())((())))"")) == (std::vector<long>({(long)4})));
}
"
HumanEval/7,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Filter an input vector of strings only for ones that contain given substring >>> filter_by_substring((std::vector<std::string>()), (""a"")) (std::vector<std::string>()) >>> filter_by_substring(((std::vector<std::string>({(std::string) ""abc"", (std::string) ""bacd"", (std::string) ""cde"", (std::string) ""array""})), (""a"") (std::vector<std::string>({(std::string) ""abc"", (std::string) ""bacd"", (std::string) ""array""}))
std::vector<std::string> filter_by_substring(std::vector<std::string> strings, std::string substring) {
","std::vector<std::string> filter_by_substring(std::vector<std::string> strings, std::string substring) {
    std::vector<std::string> result;
    for (const auto& str : strings) {
        if (str.find(substring) != std::string::npos) {
            result.push_back(str);
        }
    }
    return result;
}","}
int main() {
    auto candidate = filter_by_substring;
    assert(candidate((std::vector<std::string>()), (""john"")) == (std::vector<std::string>()));
    assert(candidate((std::vector<std::string>({(std::string)""xxx"", (std::string)""asd"", (std::string)""xxy"", (std::string)""john doe"", (std::string)""xxxAAA"", (std::string)""xxx""})), (""xxx"")) == (std::vector<std::string>({(std::string)""xxx"", (std::string)""xxxAAA"", (std::string)""xxx""})));
    assert(candidate((std::vector<std::string>({(std::string)""xxx"", (std::string)""asd"", (std::string)""aaaxxy"", (std::string)""john doe"", (std::string)""xxxAAA"", (std::string)""xxx""})), (""xx"")) == (std::vector<std::string>({(std::string)""xxx"", (std::string)""aaaxxy"", (std::string)""xxxAAA"", (std::string)""xxx""})));
    assert(candidate((std::vector<std::string>({(std::string)""grunt"", (std::string)""trumpet"", (std::string)""prune"", (std::string)""gruesome""})), (""run"")) == (std::vector<std::string>({(std::string)""grunt"", (std::string)""prune""})));
}
"
HumanEval/8,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// For a given vector of integers, return a tuple consisting of a sum and a product of all the integers in a vector. Empty sum should be equal to 0 and empty product should be equal to 1. >>> sum_product (((std::vector<long> (((((( (std::make_tuple ((0, 1)) >>> sum_product (((std::vector<long> (((long) 1, (long) 2, (long) 3, (long) 4))))) (std::make_tuple (((10, 24))
std::tuple<long, long> sum_product(std::vector<long> numbers) {
","std::tuple<long, long> sum_product(std::vector<long> numbers) {
    long sum = std::accumulate(numbers.begin(), numbers.end(), 0L);
    long product = std::accumulate(numbers.begin(), numbers.end(), 1L, std::multiplies<long>());
    return std::make_tuple(sum, product);
}","}
int main() {
    auto candidate = sum_product;
    assert(candidate((std::vector<long>())) == (std::make_tuple(0, 1)));
    assert(candidate((std::vector<long>({(long)1, (long)1, (long)1}))) == (std::make_tuple(3, 1)));
    assert(candidate((std::vector<long>({(long)100, (long)0}))) == (std::make_tuple(100, 0)));
    assert(candidate((std::vector<long>({(long)3, (long)5, (long)7}))) == (std::make_tuple(15, 105)));
    assert(candidate((std::vector<long>({(long)10}))) == (std::make_tuple(10, 10)));
}
"
HumanEval/9,dik_Latn,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Në ye kënë yic, ke yïn abï nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira ke nimira
std::vector<long> rolling_max(std::vector<long> numbers) {
","std::vector<long> rolling_max(std::vector<long> numbers) {
    std::vector<long> result;
    long max_so_far = LONG_MIN;

    for (long num : numbers) {
        max_so_far = std::max(max_so_far, num);
        result.push_back(max_so_far);
    }

    return result;
}","}
int main() {
    auto candidate = rolling_max;
    assert(candidate((std::vector<long>())) == (std::vector<long>()));
    assert(candidate((std::vector<long>({(long)1, (long)2, (long)3, (long)4}))) == (std::vector<long>({(long)1, (long)2, (long)3, (long)4})));
    assert(candidate((std::vector<long>({(long)4, (long)3, (long)2, (long)1}))) == (std::vector<long>({(long)4, (long)4, (long)4, (long)4})));
    assert(candidate((std::vector<long>({(long)3, (long)2, (long)3, (long)100, (long)3}))) == (std::vector<long>({(long)3, (long)3, (long)3, (long)100, (long)100})));
}
"
