task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,lao_Laoo,hs,"--threshold ທີ່ໃຫ້.--ກວດເບິ່ງວ່າໃນບັນຊີເລກທີ່ໃຫ້ໄວ້, ມີສອງເລກໃດໃກ້ກັນກວ່າ--  >>> hasCloseElements [1.0,2.0,3.0] 0.5
--  False
--  >>> hasCloseElements [1.0,2.8,3.0,4.0,5.0,2.0] 0.3
--  True
hasCloseElements :: [Float] -> Float -> Bool
hasCloseElements numbers threshold =","hasCloseElements :: [Float] -> Float -> Bool
hasCloseElements numbers threshold = any (\(x,y) -> abs (x - y) < threshold) [(a, b) | a <- numbers, b <- numbers, a /= b]","
main :: IO ()
main = do
  let candidate = hasCloseElements
  if candidate [1.0,2.0,3.9,4.0,5.0,2.2] 0.3 == True then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.9,4.0,5.0,2.2] 0.05 == False then pure () else error ""assertion failed""
  if candidate [1.0,2.0,5.9,4.0,5.0] 0.95 == True then pure () else error ""assertion failed""
  if candidate [1.0,2.0,5.9,4.0,5.0] 0.8 == False then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0,5.0,2.0] 0.1 == True then pure () else error ""assertion failed""
  if candidate [1.1,2.2,3.1,4.1,5.1] 1.0 == True then pure () else error ""assertion failed""
  if candidate [1.1,2.2,3.1,4.1,5.1] 0.5 == False then pure () else error ""assertion failed""
  pure ()"
HumanEval_1,lao_Laoo,hs,"--ບໍ່ສົນໃຈຊ່ອງຫວ່າງໃດໆໃນສາຍການປ້ອນຂໍ້ມູນ.--ກຸ່ມແຍກຕ່າງຫາກແມ່ນມີຄວາມສົມດຸນ (ແຕ່ລະ brace ເປີດແມ່ນຖືກປິດຢ່າງຖືກຕ້ອງ) ແລະບໍ່ໄດ້ nested ພາຍໃນກັນແລະກັນ.--ແຍກກຸ່ມພວກນັ້ນອອກເປັນສາຍແຍກຕ່າງຫາກແລະສົ່ງຄືນລາຍຊື່ຂອງພວກນັ້ນ.--ການປ້ອນຂໍ້ມູນຂອງຟັງຊັນນີ້ແມ່ນ string ທີ່ປະກອບດ້ວຍກຸ່ມຫຼາຍຂອງ parentheses nested. ເປົ້າຫມາຍຂອງທ່ານແມ່ນເພື່ອ --  >>> separateParenGroups ""( ) (( )) (( )( ))""
--  [""()"",""(())"",""(()())""]
separateParenGroups :: String -> [String]
separateParenGroups paren_string =","separateParenGroups :: String -> [String]
separateParenGroups paren_string = go paren_string 0 [] """" []
  where
    go [] _ _ current acc = if null current then acc else acc ++ [current]
    go (x:xs) depth stack current acc
      | x == ' ' = go xs depth stack current acc
      | x == '(' = go xs (depth + 1) ('(':stack) (current ++ [x]) acc
      | x == ')' =
          let newCurrent = current ++ [x]
              newDepth = depth - 1
          in if newDepth == 0
             then go xs newDepth (tail stack) """" (acc ++ [newCurrent])
             else go xs newDepth (tail stack) newCurrent acc
      | otherwise = error ""Unexpected character""","
main :: IO ()
main = do
  let candidate = separateParenGroups
  if candidate ""(()()) ((())) () ((())()())"" == [""(()())"",""((()))"",""()"",""((())()())""] then pure () else error ""assertion failed""
  if candidate ""() (()) ((())) (((())))"" == [""()"",""(())"",""((()))"",""(((())))""] then pure () else error ""assertion failed""
  if candidate ""(()(())((())))"" == [""(()(())((())))""] then pure () else error ""assertion failed""
  if candidate ""( ) (( )) (( )( ))"" == [""()"",""(())"",""(()())""] then pure () else error ""assertion failed""
  pure ()"
HumanEval_2,lao_Laoo,hs,"--ກັບຄືນສ່ວນສິບຂອງຕົວເລກ. --(ສ່ວນທີ່ເຫຼືອແມ່ນນ້ອຍກວ່າ 1 ສະເຫມີ).--ແລະສ່ວນຂອງເລກເຕັມ (ເລກເຕັມທີ່ໃຫຍ່ທີ່ສຸດນ້ອຍກວ່າເລກທີ່ໃຫ້) ແລະເລກທົດສະວັດ-- ຖ້າໃຫ້ຕົວເລກຈຸດລອຍບວກ, ມັນສາມາດແບ່ງອອກເປັນ --  >>> truncateNumber 3.5
--  0.5
truncateNumber :: Float -> Float
truncateNumber number =","truncateNumber :: Float -> Float
truncateNumber number = number - fromIntegral (floor number)","
main :: IO ()
main = do
  let candidate = truncateNumber
  if candidate 3.5 == 0.5 then pure () else error ""assertion failed""
  if candidate 1.25 == 0.25 then pure () else error ""assertion failed""
  if candidate 123.0 == 0.0 then pure () else error ""assertion failed""
  pure ()"
HumanEval_3,lao_Laoo,hs,"--ໃນຈຸດນັ້ນ ຫນ້າ ທີ່ຄວນກັບຄືນ True. ຖ້າບໍ່ດັ່ງນັ້ນມັນຄວນກັບຄືນ False. --ການຄວບຄຸມເງິນຝາກຂອງບັນຊີ--ທ່ານໄດ້ຮັບລາຍຊື່ການຝາກເງິນ ແລະ ການຖອນເງິນ ໃນບັນຊີທະນາຄານ ທີ່ເລີ່ມຕົ້ນດ້ວຍ--  >>> belowZero [1,2,3]
--  False
--  >>> belowZero [1,2,(-4),5]
--  True
belowZero :: [Int] -> Bool
belowZero operations =","belowZero :: [Int] -> Bool
belowZero operations = any (< 0) $ scanl (+) 0 operations","
main :: IO ()
main = do
  let candidate = belowZero
  if candidate [] == False then pure () else error ""assertion failed""
  if candidate [1,2,(-3),1,2,(-3)] == False then pure () else error ""assertion failed""
  if candidate [1,2,(-4),5,6] == True then pure () else error ""assertion failed""
  if candidate [1,(-1),2,(-2),5,(-5),4,(-4)] == False then pure () else error ""assertion failed""
  if candidate [1,(-1),2,(-2),5,(-5),4,(-5)] == True then pure () else error ""assertion failed""
  if candidate [1,(-2),2,(-2),5,(-5),4,(-4)] == True then pure () else error ""assertion failed""
  pure ()"
HumanEval_4,lao_Laoo,hs,"--MAD = ສະເລ່ຍ. x - x_mean.--ສ່ວນປະກອບແລະຈຸດສູນກາງ (ໃນກໍລະນີນີ້ ຫມາຍ ຄວາມວ່າ): --ຄວາມຫລີກລ່ຽງໂດຍສະເລ່ຍແມ່ນຄວາມແຕກຕ່າງໂດຍສະເລ່ຍລະຫວ່າງແຕ່ລະ --ປະມານສະເລ່ຍຂອງຂໍ້ມູນນີ້.--ສໍາລັບບັນຊີລາຍຊື່ທີ່ໃຫ້ຂອງຕົວເລກການປ້ອນຂໍ້ມູນ, ຄິດໄລ່ Mean Absolute Deviation.--  >>> meanAbsoluteDeviation [1.0,2.0,3.0,4.0]
--  1.0
meanAbsoluteDeviation :: [Float] -> Float
meanAbsoluteDeviation numbers =","meanAbsoluteDeviation :: [Float] -> Float
meanAbsoluteDeviation numbers = sum absoluteDifferences / fromIntegral (length numbers)
  where
    mean = sum numbers / fromIntegral (length numbers)
    absoluteDifferences = map (\x -> abs (x - mean)) numbers","
main :: IO ()
main = do
  let candidate = meanAbsoluteDeviation
  if candidate [1.0,2.0] == 0.5 then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0] == 1.0 then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0,5.0] == 1.2 then pure () else error ""assertion failed""
  pure ()"
HumanEval_5,lao_Laoo,hs,"--☐ ການຈັດຕັ້ງປະຕິບັດຕາມມາດຕະຖານການຈັດຕັ້ງປະຕິບັດ--  >>> intersperse [] 4
--  []
--  >>> intersperse [1,2,3] 4
--  [1,4,2,4,3]
intersperse :: [Int] -> Int -> [Int]
intersperse numbers delimeter =","intersperse :: [Int] -> Int -> [Int]
intersperse [] _ = []
intersperse [x] _ = [x]
intersperse (x:xs) delimeter = x : delimeter : intersperse xs delimeter","
main :: IO ()
main = do
  let candidate = intersperse
  if candidate [] 7 == [] then pure () else error ""assertion failed""
  if candidate [5,6,3,2] 8 == [5,8,6,8,3,8,2] then pure () else error ""assertion failed""
  if candidate [2,2,2] 2 == [2,2,2,2,2] then pure () else error ""assertion failed""
  pure ()"
HumanEval_6,lao_Laoo,hs,"--ຕົວຢ່າງ: (() (()) ມີລະດັບການລ້ຽງລູກສູງສຸດສອງລະດັບໃນຂະນະທີ່ ((())) ມີສາມ. --ສໍາ ລັບແຕ່ລະກຸ່ມ, ໃຫ້ຜົນຜະລິດລະດັບຄວາມເລິກທີ່ສຸດຂອງ parentheses nesting. -- ຂໍ້ເຂົ້າຂອງຟັງຊັນນີ້ແມ່ນ string ທີ່ສະແດງໃຫ້ເຫັນຫຼາຍກຸ່ມສໍາລັບ parentheses nested ແຍກໂດຍຊ່ອງຫວ່າງ. --  >>> parseNestedParens ""(()()) ((())) () ((())()())""
--  [2,3,1,3]
parseNestedParens :: String -> [Int]
parseNestedParens paren_string =","parseNestedParens :: String -> [Int]
parseNestedParens paren_string = map maxDepth (words paren_string)
  where
    maxDepth :: String -> Int
    maxDepth = go 0 0
      where
        go :: Int -> Int -> String -> Int
        go currentDepth maxDepth [] = maxDepth
        go currentDepth maxDepth (c:cs)
          | c == '('  = go (currentDepth + 1) (max currentDepth maxDepth) cs
          | c == ')'  = go (currentDepth - 1) maxDepth cs
          | otherwise = go currentDepth maxDepth cs","
main :: IO ()
main = do
  let candidate = parseNestedParens
  if candidate ""(()()) ((())) () ((())()())"" == [2,3,1,3] then pure () else error ""assertion failed""
  if candidate ""() (()) ((())) (((())))"" == [1,2,3,4] then pure () else error ""assertion failed""
  if candidate ""(()(())((())))"" == [4] then pure () else error ""assertion failed""
  pure ()"
HumanEval_7,lao_Laoo,hs,"-- ການກັ່ນຕອງລາຍຊື່ການປ້ອນຂໍ້ມູນຂອງສາຍແອວພຽງແຕ່ສໍາລັບຜູ້ທີ່ປະກອບ substring ທີ່ໄດ້ຮັບ--  >>> filterBySubstring [] ""a""
--  []
--  >>> filterBySubstring [""abc"",""bacd"",""cde"",""array""] ""a""
--  [""abc"",""bacd"",""array""]
filterBySubstring :: [String] -> String -> [String]
filterBySubstring strings substring =","filterBySubstring :: [String] -> String -> [String]
filterBySubstring strings substring = filter (substring `isInfixOf`) strings
  where isInfixOf = isInfixOf","
main :: IO ()
main = do
  let candidate = filterBySubstring
  if candidate [] ""john"" == [] then pure () else error ""assertion failed""
  if candidate [""xxx"",""asd"",""xxy"",""john doe"",""xxxAAA"",""xxx""] ""xxx"" == [""xxx"",""xxxAAA"",""xxx""] then pure () else error ""assertion failed""
  if candidate [""xxx"",""asd"",""aaaxxy"",""john doe"",""xxxAAA"",""xxx""] ""xx"" == [""xxx"",""aaaxxy"",""xxxAAA"",""xxx""] then pure () else error ""assertion failed""
  if candidate [""grunt"",""trumpet"",""prune"",""gruesome""] ""run"" == [""grunt"",""prune""] then pure () else error ""assertion failed""
  pure ()"
HumanEval_8,lao_Laoo,hs,"--ລວມເປົ່າຄວນເທົ່າກັບ 0 ແລະຜະລິດຕະພັນເປົ່າຄວນເທົ່າກັບ 1.--ສໍາລັບບັນຊີລາຍຊື່ຂອງຕົວເລກເຕັມທີ່ໃຫ້, ກັບຄືນເປັນ tuple ປະກອບດ້ວຍຈໍານວນແລະຜົນຜະລິດຂອງຕົວເລກເຕັມທັງຫມົດໃນບັນຊີລາຍຊື່.--  >>> sumProduct []
--  (0, 1)
--  >>> sumProduct [1,2,3,4]
--  (10, 24)
sumProduct :: [Int] -> (Int, Int)
sumProduct numbers =","sumProduct :: [Int] -> (Int, Int)
sumProduct numbers = (sum numbers, product numbers)","
main :: IO ()
main = do
  let candidate = sumProduct
  if candidate [] == (0, 1) then pure () else error ""assertion failed""
  if candidate [1,1,1] == (3, 1) then pure () else error ""assertion failed""
  if candidate [100,0] == (100, 0) then pure () else error ""assertion failed""
  if candidate [3,5,7] == (15, 105) then pure () else error ""assertion failed""
  if candidate [10] == (10, 10) then pure () else error ""assertion failed""
  pure ()"
HumanEval_9,lao_Laoo,hs,"--ໃນລໍາດັບ.--ຈາກບັນຊີລາຍຊື່ຂອງຕົວເລກເຕັມທີ່ໃຫ້ໄວ້, ສ້າງບັນຊີລາຍຊື່ຂອງອົງປະກອບສູງສຸດທີ່ພົບເຫັນຈົນເຖິງເວລາດຽວກັນ.--  >>> rollingMax [1,2,3,2,3,4,2]
--  [1,2,3,3,3,4,4]
rollingMax :: [Int] -> [Int]
rollingMax numbers =","rollingMax :: [Int] -> [Int]
rollingMax = scanl1 max","
main :: IO ()
main = do
  let candidate = rollingMax
  if candidate [] == [] then pure () else error ""assertion failed""
  if candidate [1,2,3,4] == [1,2,3,4] then pure () else error ""assertion failed""
  if candidate [4,3,2,1] == [4,4,4,4] then pure () else error ""assertion failed""
  if candidate [3,2,3,100,3] == [3,3,3,100,100] then pure () else error ""assertion failed""
  pure ()"
