task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,hau_Latn,pl,"# da aka ba da ƙofar. # Bincika idan a cikin jerin lambobi, akwai wasu lambobi biyu da suke kusa da juna fiye da # >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
# """"
# >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
# 1
sub has_close_elements {
    my($numbers, $threshold) = @_;
","sub has_close_elements {
    my($numbers, $threshold) = @_;
    
    for my $i (0 .. @$numbers - 2) {
        for my $j ($i + 1 .. @$numbers - 1) {
            if (abs($numbers->[$i] - $numbers->[$j]) < $threshold) {
                return 1;
            }
        }
    }
    return """";
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&has_close_elements;
        if(eq_deeply($candidate->([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3),1)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05),"""")) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.0, 2.0, 5.9, 4.0, 5.0], 0.95),1)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.0, 2.0, 5.9, 4.0, 5.0], 0.8),"""")) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1),1)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.1, 2.2, 3.1, 4.1, 5.1], 1.0),1)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.1, 2.2, 3.1, 4.1, 5.1], 0.5),"""")) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_1,hau_Latn,pl,"# Ka yi watsi da duk wani sarari a cikin layin shigarwa.# Ƙungiyoyi daban-daban suna daidaita (kowane buɗewa yana rufewa sosai) kuma ba a cikin juna ba.# raba waɗannan rukuni zuwa cikin keɓaɓɓun zaren kuma dawo da jeri na waɗanda. # Shigarwa zuwa wannan aiki ne mai kirtani dauke da mahara kungiyoyin nested iyaka.# >>> separate_paren_groups(""( ) (( )) (( )( ))"")
# [""()"", ""(())"", ""(()())""]
sub separate_paren_groups {
    my($paren_string) = @_;
","sub separate_paren_groups {
    my ($paren_string) = @_;
    $paren_string =~ s/\s+//g;  # Remove all spaces
    my @groups;
    my $balance = 0;
    my $current_group = """";
    
    foreach my $char (split //, $paren_string) {
        if ($char eq '(') {
            $balance++;
        }
        if ($char eq ')') {
            $balance--;
        }
        $current_group .= $char;
        if ($balance == 0 && $current_group ne """") {
            push @groups, $current_group;
            $current_group = """";
        }
    }
    
    return \@groups;
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&separate_paren_groups;
        if(eq_deeply($candidate->(""(()()) ((())) () ((())()())""),[""(()())"", ""((()))"", ""()"", ""((())()())""])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(""() (()) ((())) (((())))""),[""()"", ""(())"", ""((()))"", ""(((())))""])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(""(()(())((())))""),[""(()(())((())))""])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(""( ) (( )) (( )( ))""),[""()"", ""(())"", ""(()())""])) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_2,hau_Latn,pl,"# Koma da goma na lambar. # (rabon da ya rage koyaushe ya fi ƙasa da 1).# da ɓangaren lamba (mafi girman lamba mafi ƙanƙanta fiye da lambar da aka bayar) da kuma ƙayyadaddun # Idan aka ba mu lambar da ta dace, za mu iya raba ta zuwa # >>> truncate_number(3.5)
# 0.5
sub truncate_number {
    my($number) = @_;
","sub truncate_number {
    my($number) = @_;
    my $integer_part = int($number);
    my $decimal_part = $number - $integer_part;
    return $decimal_part;
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&truncate_number;
        if(eq_deeply($candidate->(3.5),0.5)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(1.25),0.25)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(123.0),0.0)) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_3,hau_Latn,pl,"# A wannan lokacin aikin ya kamata ya dawo 1. In ba haka ba ya kamata ya dawo ''.# your aiki ne don gane idan a kowane batu da balance na account faduwa kasa da sifili, da kuma # An ba ka jerin ayyukan ajiya da kuma janyewa a asusun banki wanda ya fara da # >>> below_zero([1, 2, 3])
# """"
# >>> below_zero([1, 2, -4, 5])
# 1
sub below_zero {
    my($operations) = @_;
","sub below_zero {
    my ($operations) = @_;
    my $balance = 0;
    
    for my $operation (@$operations) {
        $balance += $operation;
        if ($balance < 0) {
            return 1;
        }
    }
    
    return '';
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&below_zero;
        if(eq_deeply($candidate->([]),"""")) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, 2, -3, 1, 2, -3]),"""")) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, 2, -4, 5, 6]),1)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, -1, 2, -2, 5, -5, 4, -4]),"""")) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, -1, 2, -2, 5, -5, 4, -5]),1)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, -2, 2, -2, 5, -5, 4, -4]),1)) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_4,hau_Latn,pl,"# MAD = matsakaici. x - x_mean. # kashi da kuma cibiyar cibiyar (ma'ana a wannan yanayin): # Matsakaicin Ma'anar Ma'anar Ma'anar ita ce matsakaicin bambancin da ke tsakanin kowane # a kusa da matsakaicin wannan dataset. # Don saitin bayanan shigarwa, lissafta Ma'anar Ma'anar Ma'anar Ma'anar Ma'anar # >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
# 1.0
sub mean_absolute_deviation {
    my($numbers) = @_;
","sub mean_absolute_deviation {
    my ($numbers) = @_;
    my $n = scalar @$numbers;
    return 0 if $n == 0;

    # Calculate mean
    my $sum = 0;
    $sum += $_ for @$numbers;
    my $mean = $sum / $n;

    # Calculate mean absolute deviation
    my $total_deviation = 0;
    $total_deviation += abs($_ - $mean) for @$numbers;
    return $total_deviation / $n;
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&mean_absolute_deviation;
        if(eq_deeply($candidate->([1.0, 2.0]),0.5)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.0, 2.0, 3.0, 4.0]),1.0)) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1.0, 2.0, 3.0, 4.0, 5.0]),1.2)) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_5,hau_Latn,pl,"# Shigar da lamba ""delimeter"" tsakanin kowane abubuwa biyu na jere na shigarwa array ∀numbers' # >>> intersperse([], 4)
# []
# >>> intersperse([1, 2, 3], 4)
# [1, 4, 2, 4, 3]
sub intersperse {
    my($numbers, $delimeter) = @_;
","my @result;
    for (my $i = 0; $i < @$numbers; $i++) {
        push @result, $numbers->[$i];
        push @result, $delimeter if $i < @$numbers - 1;
    }
    return \@result;
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&intersperse;
        if(eq_deeply($candidate->([], 7),[])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([5, 6, 3, 2], 8),[5, 8, 6, 8, 3, 8, 2])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([2, 2, 2], 2),[2, 2, 2, 2, 2])) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_6,hau_Latn,pl,"# Misali (() (()) yana da matsakaicin matakai biyu na nesting yayin da ((())) yana da uku. # Ga kowane rukuni, fitarwa mafi zurfi matakin nesting na parentheses. # Input zuwa wannan aiki ne mai kirtani wakilta mahara kungiyoyin for nested iyaye rabu da sarari. # >>> parse_nested_parens(""(()()) ((())) () ((())()())"")
# [2, 3, 1, 3]
sub parse_nested_parens {
    my($paren_string) = @_;
","sub parse_nested_parens {
    my($paren_string) = @_;
    my @groups = split / /, $paren_string;
    my @depths;

    foreach my $group (@groups) {
        my $max_depth = 0;
        my $current_depth = 0;
        foreach my $char (split //, $group) {
            if ($char eq '(') {
                $current_depth++;
                if ($current_depth > $max_depth) {
                    $max_depth = $current_depth;
                }
            } elsif ($char eq ')') {
                $current_depth--;
            }
        }
        push @depths, $max_depth;
    }
    
    return \@depths;
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&parse_nested_parens;
        if(eq_deeply($candidate->(""(()()) ((())) () ((())()())""),[2, 3, 1, 3])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(""() (()) ((())) (((())))""),[1, 2, 3, 4])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->(""(()(())((())))""),[4])) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_7,hau_Latn,pl,"# Tace jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin jerin# >>> filter_by_substring([], ""a"")
# []
# >>> filter_by_substring([""abc"", ""bacd"", ""cde"", ""array""], ""a"")
# [""abc"", ""bacd"", ""array""]
sub filter_by_substring {
    my($strings, $substring) = @_;
","sub filter_by_substring {
    my ($strings, $substring) = @_;
    my @filtered = grep { index($_, $substring) != -1 } @$strings;
    return \@filtered;
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&filter_by_substring;
        if(eq_deeply($candidate->([], ""john""),[])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([""xxx"", ""asd"", ""xxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xxx""),[""xxx"", ""xxxAAA"", ""xxx""])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([""xxx"", ""asd"", ""aaaxxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xx""),[""xxx"", ""aaaxxy"", ""xxxAAA"", ""xxx""])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([""grunt"", ""trumpet"", ""prune"", ""gruesome""], ""run""),[""grunt"", ""prune""])) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_8,hau_Latn,pl,"# Ƙarin da ba shi da amfani ya zama daidai da 0 kuma samfurin da ba shi da amfani ya zama daidai da 1. # Don ba da tsararru na integers, dawo da tsararru kunshi wani jimla da kuma wani samfurin dukan integers a tsararru. # >>> sum_product([])
# [0, 1]
# >>> sum_product([1, 2, 3, 4])
# [10, 24]
sub sum_product {
    my($numbers) = @_;
","sub sum_product {
    my ($numbers) = @_;
    my $sum = 0;
    my $product = 1;
    
    foreach my $num (@$numbers) {
        $sum += $num;
        $product *= $num;
    }
    
    return [$sum, $product];
}","use Test::Deep;


sub testhumaneval {
    my $candidate = \&sum_product;
        if(eq_deeply($candidate->([]),[0, 1])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, 1, 1]),[3, 1])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([100, 0]),[100, 0])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([3, 5, 7]),[15, 105])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([10]),[10, 10])) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
HumanEval_9,hau_Latn,pl,"# a cikin jerin. # Daga wani saitin na integers, samar da wani saitin na mirgina iyakar kashi samu har zuwa ba lokacin # >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
# [1, 2, 3, 3, 3, 4, 4]
sub rolling_max {
    my($numbers) = @_;
","sub rolling_max {
    my ($numbers) = @_;
    my @result;
    my $max = $numbers->[0];
    
    for my $num (@$numbers) {
        $max = $num if $num > $max;
        push @result, $max;
    }
    
    return \@result;
}

# Example usage
my $result = rolling_max([1, 2, 3, 2, 3, 4, 2]);
print ""@$result\n"";  # Outputs: 1 2 3 3 3 4 4","use Test::Deep;


sub testhumaneval {
    my $candidate = \&rolling_max;
        if(eq_deeply($candidate->([]),[])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([1, 2, 3, 4]),[1, 2, 3, 4])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([4, 3, 2, 1]),[4, 4, 4, 4])) {
        print ""ok!"" }else{
        exit 1;
        }
        if(eq_deeply($candidate->([3, 2, 3, 100, 3]),[3, 3, 3, 100, 100])) {
        print ""ok!"" }else{
        exit 1;
        }
}

testhumaneval();"
