task_id,nl,pl,prompt,canonical_solution,test,Unnamed: 6,Unnamed: 7,Unnamed: 8
HumanEval/0,wol_Latn,python,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""Xoolal ndax ci lim bu ñu jox, am na ñaari lim yu gën a jege ci seen biir lu dul li ñu jox.""""""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

",,,
HumanEval/1,wol_Latn,python,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""Jëfandikoo na ab téere bu am ay mbooleem mbooleem xët yu ñu tënk. Sa bëggu nekk mooy séddale mbooleem xët yooyu ci ay téere yu wuute te delloo leen ci li ñu leen di bind. Mbooleem xët yii ci nekk dañuy ànd ak seen bopp (kenn-kenn xët bu ñu tënk bu baax) te duñu nekk ci seen biir.""""""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
",,,
HumanEval/2,wol_Latn,python,"

def truncate_number(number: float) -> float:
    """"""Bu ñu jox ab lim bu am solo bu am solo, mën nañu ko dajale ci benn wàll bu nekk (ñenn ci wàll yi gën a màgg te gën a tuuti ci lim bi) ak ci wàll bu nekk bu nekk ci desimaal (ñenn ci wàll yi gën a tuuti ci 1.""""""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
",,,
HumanEval/3,wol_Latn,python,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """"""Dinga jot ci lim bi ci jëfandikoo yi di dugal ak a génne ci ab dencukaay bu njëkk bi di 0 (zero). Sa liggéey mooy gis su fekkee ne ci benn bérab balansi dencukaay bi daanu na ci suuf si 0 (zero), te ci saa si fonksion bi war na delloo True (juw). Bu ko defee dina delloo False (juw).""""""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
",,,
HumanEval/4,wol_Latn,python,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """"""Ci lim bu ñu jox ci ay lim yu ñu dugal, seetal ci lu jëm ci liñ bu mat sëkk bi ci diggante ci lim bu ñu dugal. Liñ bu mat sëkk bi mooy liñ bu mat sëkk bi ci diggante benn element ak benn diggante (ci mbir mi: MAD = average ⋅ x - x_mean ⋅ Example: >>> mean_absolute_deviation (([1.0, 2.0, 3.0, 4.0]) 1.0 """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

",,,
HumanEval/5,wol_Latn,python,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """"""Tànnal ab lim ""delimiteer"" ci diggante ñaari lim yu àndandoo ci li ñuy wax ""input list"" `numbers' >>> intersperse([], 4) [] >>> intersperse([1, 2, 3], 4) [1, 4, 2, 4, 3] """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
",,,
HumanEval/6,wol_Latn,python,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """"""Jëfandikoo na ab bant bu am ay mbooleem mbooleem yuy nekk ci ay ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yuy nekk ci ay-séex yu nekk ci ay-séex yu nekk ci ay-séex yu nekk ci ay-séex yu nekk ci ay-séex yu nekk ci ay-séex yu nekk ci ay-séex yu-séex yu-s yu-séex yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s yu-s""""""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
",,,
HumanEval/7,wol_Latn,python,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """"""Filter ab lim bu ñuy dugal ci ay téere yu am solo rekk ci ñi am benn subbër bu ñu jox >>> filter_by_substring([], 'a') [] >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a') ['abc', 'bacd', 'array'] """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
",,,
HumanEval/8,wol_Latn,python,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""Ci lim bu ñu jox ci lim yu matukaay yi, delloo ab tuple bu am lim bu boole ak benn ci lim yi matukaay yépp ci lim bi. lim bu amul benn lim bu matukaay war na tollu ci 0 te lim bu amul benn lim bu matukaay war na tollu ci 1. >>> sum_product (([]) (0, 1) >>> sum_product (([1, 2, 3, 4]) (10, 24) """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
",,,
HumanEval/9,wol_Latn,python,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """"""Ci benn lim bu ñu jox ci ay lim yu matukaay, def ab lim bu ñuy wax "" rolling maximum "" bu ñu gis ba ci jamono bu ñu ko jox ci séquence bi. >>> rolling_max (([1, 2, 3, 2, 3, 4, 2]) [1, 2, 3, 3, 3, 4, 4] """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
",,,
