task_id,nl,pl,prompt,canonical_solution,test,Unnamed: 6,Unnamed: 7,Unnamed: 8
HumanEval/0,ibo_Latn,python,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""Lelee ma na ndepụta nke nọmba, enwere nọmba abụọ dị nso karịa ọnụ ọgụgụ enyere. Ihe Nlereanya: >>> nwere_ihe_dị nso (([1.0, 2.0, 3.0], 0.5) Ụgha >>> nwere_ihe_dị nso (([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3) Eziokwu """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

",,,
HumanEval/1,ibo_Latn,python,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""Ihe ntinye na ọrụ a bụ eriri nwere ọtụtụ ìgwè nke nkedo nkedo. Ihe mgbaru ọsọ gị bụ ikewapụ ndị otu ahụ n'ime eriri dị iche iche ma weghachite ndepụta nke ndị ahụ. Otu dị iche iche dị iche iche (a na-emechi ihe nkedo ọ bụla nke ọma) ma ghara itinye ya n'ime ibe ha. Eleghara ohere ọ bụla na ntinye ntinye anya. Ihe Nlereanya: >>> separate_paren_groups' ((( ) (() (()))))))) ['() ', '(()) ', '(() ']""""""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
",,,
HumanEval/2,ibo_Latn,python,"

def truncate_number(number: float) -> float:
    """"""N'inye ọnụọgụgụ na-agbanwe agbanwe, enwere ike ịba ya na akụkụ integer (nke kachasị ukwuu dị ntakịrị karịa nọmba enyere) na decimals (akụkụ nke fọdụrụ na-adịkarị obere karịa 1). Laghachi akụkụ nke ọnụọgụgụ nke ọnụọgụgụ. Ihe Nlereanya: >>> truncate_number(3.5) 0.5 """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
",,,
HumanEval/3,ibo_Latn,python,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """"""A na-enye gị ndepụta nke nkwụnye ego na ịdọrọ ọrụ na akaụntụ akụ nke na-amalite na nguzozi efu. Ọrụ gị bụ ịchọpụta ma ọ bụrụ na n'oge ọ bụla, nguzozi akaụntụ ahụ dara n'okpuru efu, na n'oge ahụ, ọrụ ahụ kwesịrị ịlaghachi Eziokwu. Ma ọ bụghị ya, ọ ga-alọghachite Ụgha. Ihe Nlereanya: >>> n'okpuru_zero([1, 2, 3]) Ụgha >>> n'okpuru_zero([1, 2, -4, 5]) Eziokwu """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
",,,
HumanEval/4,ibo_Latn,python,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """"""Maka ndepụta enyere nke ọnụọgụ ntinye, gbakọọ Mean Absolute Deviation gburugburu nkezi nke dataset a. Mean Absolute Deviation bụ nkezi ọdịiche zuru oke n'etiti ihe ọ bụla na etiti etiti (nkezi na nke a): MAD = nkezi ∙ x - x_mean ∙ Ihe atụ: >>> mean_absolute_deviation ([1.0, 2.0, 3.0, 4.0]) 1.0 """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

",,,
HumanEval/5,ibo_Latn,python,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """"""Tinye nọmba 'delimeter' n'etiti ihe abụọ ọ bụla na-esote nke ndepụta ntinye `numbers' >>> intersperse([], 4) [] >>> intersperse([1, 2, 3], 4) [1, 4, 2, 4, 3] """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
",,,
HumanEval/6,ibo_Latn,python,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """"""Ntinye aka na ọrụ a bụ eriri na-anọchite anya ọtụtụ ìgwè maka nkedo nkedo nkewapụrụ site na oghere. Maka otu ọ bụla, mmepụta nke kachasị omimi nke nkedo nke nkedo. Dịka ọmụmaatụ (() (()) nwere oke ọkwa abụọ nke nkedo mgbe ((())) nwere atọ. >>> parse_nested_parens('((()) ((())) () (((()) [2, 3, 1, 3] """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
",,,
HumanEval/7,ibo_Latn,python,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """"""Nchịkọta ndepụta ntinye nke eriri naanị maka ndị nwere substring enyere >>> filter_by_substring([], 'a') [] >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a') ['abc', 'bacd', 'array'] """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
",,,
HumanEval/8,ibo_Latn,python,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""Maka ndepụta nke integers, laghachi a tuple esịnede a nchikota na a ngwaahịa nke niile integers na a ndepụta. Efu nchikota kwesịrị hà ka 0 na efu ngwaahịa kwesịrị hà ka 1. >>> sum_product([]) (0, 1) >>> sum_product([1, 2, 3, 4]) (10, 24) """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
",,,
HumanEval/9,ibo_Latn,python,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """"""Site na ndepụta nke integers, mepụta ndepụta nke ihe kachasị elu nke a chọtara ruo oge enyere na usoro. >>> rolling_max (([1, 2, 3, 2, 3, 4, 2]) [1, 2, 3, 3, 3, 4, 4] """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
",,,
