task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,kas_Deva,hs,"--ण ् ् ् ् ् ्------- ये छी एवं वुचने की कहीं छी कहीं ज़े नंबर आसान ोने सेथ--  >>> hasCloseElements [1.0,2.0,3.0] 0.5
--  False
--  >>> hasCloseElements [1.0,2.8,3.0,4.0,5.0,2.0] 0.3
--  True
hasCloseElements :: [Float] -> Float -> Bool
hasCloseElements numbers threshold =","hasCloseElements :: [Float] -> Float -> Bool
hasCloseElements numbers threshold = any (\(x,y) -> abs (x - y) < threshold) [(a, b) | a <- numbers, b <- numbers, a /= b]","
main :: IO ()
main = do
  let candidate = hasCloseElements
  if candidate [1.0,2.0,3.9,4.0,5.0,2.2] 0.3 == True then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.9,4.0,5.0,2.2] 0.05 == False then pure () else error ""assertion failed""
  if candidate [1.0,2.0,5.9,4.0,5.0] 0.95 == True then pure () else error ""assertion failed""
  if candidate [1.0,2.0,5.9,4.0,5.0] 0.8 == False then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0,5.0,2.0] 0.1 == True then pure () else error ""assertion failed""
  if candidate [1.1,2.2,3.1,4.1,5.1] 1.0 == True then pure () else error ""assertion failed""
  if candidate [1.1,2.2,3.1,4.1,5.1] 0.5 == False then pure () else error ""assertion failed""
  pure ()"
HumanEval_1,kas_Deva,hs,"--इनपुट स्ट्रिंग मंज़ कहँ ते स्पेस छू इनगॉर करथ.--अलग अलग ग्रुप छि बैलेंस्ड आसान (हर अख ओपनुक ब्रेस छु मुनासिब तोर बंद गछान) त अख अकिस म्न्ज़ छुन नेस्ट करान।--ये ग्रुप अलग अलग स्ट्रिंग्स मंज़ त्रावुन तेमन हिंज लिस्ट वापस करों.--युस ये फंक्शन छी ये छी स्ट्रिंग याथ मंज़ छी एवं वारिया ग्रुप नेस्टेड कंसिस्टेंस--  >>> separateParenGroups ""( ) (( )) (( )( ))""
--  [""()"",""(())"",""(()())""]
separateParenGroups :: String -> [String]
separateParenGroups paren_string =","separateParenGroups :: String -> [String]
separateParenGroups paren_string = go paren_string 0 [] """" []
  where
    go [] _ _ current acc = if null current then acc else acc ++ [current]
    go (x:xs) depth stack current acc
      | x == ' ' = go xs depth stack current acc
      | x == '(' = go xs (depth + 1) ('(':stack) (current ++ [x]) acc
      | x == ')' =
          let newCurrent = current ++ [x]
              newDepth = depth - 1
          in if newDepth == 0
             then go xs newDepth (tail stack) """" (acc ++ [newCurrent])
             else go xs newDepth (tail stack) newCurrent acc
      | otherwise = error ""Unexpected character""","
main :: IO ()
main = do
  let candidate = separateParenGroups
  if candidate ""(()()) ((())) () ((())()())"" == [""(()())"",""((()))"",""()"",""((())()())""] then pure () else error ""assertion failed""
  if candidate ""() (()) ((())) (((())))"" == [""()"",""(())"",""((()))"",""(((())))""] then pure () else error ""assertion failed""
  if candidate ""(()(())((())))"" == [""(()(())((())))""] then pure () else error ""assertion failed""
  if candidate ""( ) (( )) (( )( ))"" == [""()"",""(())"",""(()())""] then pure () else error ""assertion failed""
  pure ()"
HumanEval_2,kas_Deva,hs,"--णणणदद णद णद णद णद णद णद णद णद--(बचे हुवे पार्ट हमेशा 1 खोत कम).--ते इंटेगर पार्ट (दाओ नंबर खोत लकिट इन्टेगर) ते डेसीमल--युस पॉजिटिव फ्लोटिंग पॉइंट नंबर छी ,इ छी एवं डिकोम्पोसेड करने--  >>> truncateNumber 3.5
--  0.5
truncateNumber :: Float -> Float
truncateNumber number =","truncateNumber :: Float -> Float
truncateNumber number = number - fromIntegral (floor number)","
main :: IO ()
main = do
  let candidate = truncateNumber
  if candidate 3.5 == 0.5 then pure () else error ""assertion failed""
  if candidate 1.25 == 0.25 then pure () else error ""assertion failed""
  if candidate 123.0 == 0.0 then pure () else error ""assertion failed""
  pure ()"
HumanEval_3,kas_Deva,hs,"--अगर अस ने अस सही तेम वातो ,तोल अस गलत तेम वातो--तोय छी यह डिटेक्ट करा की कहीं पैठ छी बैलेंस ऑफ़ एकाउंट्स गासन जीरो खोत नीच ,बे--अखः बैंक अकाउंटस पेठ जमा ते निकासी हुन्द लिस्ट युस सेत शुरू छू येवा करने--  >>> belowZero [1,2,3]
--  False
--  >>> belowZero [1,2,(-4),5]
--  True
belowZero :: [Int] -> Bool
belowZero operations =","belowZero :: [Int] -> Bool
belowZero operations = any (< 0) $ scanl (+) 0 operations","
main :: IO ()
main = do
  let candidate = belowZero
  if candidate [] == False then pure () else error ""assertion failed""
  if candidate [1,2,(-3),1,2,(-3)] == False then pure () else error ""assertion failed""
  if candidate [1,2,(-4),5,6] == True then pure () else error ""assertion failed""
  if candidate [1,(-1),2,(-2),5,(-5),4,(-4)] == False then pure () else error ""assertion failed""
  if candidate [1,(-1),2,(-2),5,(-5),4,(-5)] == True then pure () else error ""assertion failed""
  if candidate [1,(-2),2,(-2),5,(-5),4,(-4)] == True then pure () else error ""assertion failed""
  pure ()"
HumanEval_4,kas_Deva,hs,"--MAD = औसत। x - x_mean। --एलिमेंट ते सेन्टरपॉइंट (एमएएन मंज़):--मीन्स अब्सोलुटे डिविएशन छी मीन्स अब्सोलुटे डिफरेंस दुइन मंज़--सॉरी डाटा छी ईवा रज़ान--ेक देवन लिसट इनपुट नुम्बरं खातर , छी कलन मीन्स अब्सोलुटे डिविएशन--  >>> meanAbsoluteDeviation [1.0,2.0,3.0,4.0]
--  1.0
meanAbsoluteDeviation :: [Float] -> Float
meanAbsoluteDeviation numbers =","meanAbsoluteDeviation :: [Float] -> Float
meanAbsoluteDeviation numbers = sum absoluteDifferences / fromIntegral (length numbers)
  where
    mean = sum numbers / fromIntegral (length numbers)
    absoluteDifferences = map (\x -> abs (x - mean)) numbers","
main :: IO ()
main = do
  let candidate = meanAbsoluteDeviation
  if candidate [1.0,2.0] == 0.5 then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0] == 1.0 then pure () else error ""assertion failed""
  if candidate [1.0,2.0,3.0,4.0,5.0] == 1.2 then pure () else error ""assertion failed""
  pure ()"
HumanEval_5,kas_Deva,hs,"--∀इनपुट लिस्ट ∀नंबरस ' ∀इनपुट लिस्ट ∀नंबरस ' ∀इनपुट लिस्ट ∀नंबरस ' ∀इनपुट लिस्ट ∀नंबरस ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट लिस्ट ∀इनपुट--  >>> intersperse [] 4
--  []
--  >>> intersperse [1,2,3] 4
--  [1,4,2,4,3]
intersperse :: [Int] -> Int -> [Int]
intersperse numbers delimeter =","intersperse :: [Int] -> Int -> [Int]
intersperse [] _ = []
intersperse [x] _ = [x]
intersperse (x:xs) delimeter = x : delimeter : intersperse xs delimeter","
main :: IO ()
main = do
  let candidate = intersperse
  if candidate [] 7 == [] then pure () else error ""assertion failed""
  if candidate [5,6,3,2] 8 == [5,8,6,8,3,8,2] then pure () else error ""assertion failed""
  if candidate [2,2,2] 2 == [2,2,2,2,2] then pure () else error ""assertion failed""
  pure ()"
HumanEval_6,kas_Deva,hs,"--मिसाले, ()) ह्नदिस नेसटिंग लेवलस म्न्ज़ छि दोन लेवल आसान येलि ज़न ()) ह्नदिस त्रेन लेवलस म्न्ज़ छु।--हर ग्रुप खातिर,कुड़न हिंज नेस्टिंग हिंज डीप लेवल आउटपुट करा.--युस ये फंक्शन छी ये छी स्ट्रिंग युस हवन छी मल्टीपल ग्रुप्स नेस्टेड कंसिस्टेंट्स खातर युस अलग छी कारन स्पेस सेथ--  >>> parseNestedParens ""(()()) ((())) () ((())()())""
--  [2,3,1,3]
parseNestedParens :: String -> [Int]
parseNestedParens paren_string =","parseNestedParens :: String -> [Int]
parseNestedParens paren_string = map maxDepth (words paren_string)
  where
    maxDepth :: String -> Int
    maxDepth = go 0 0
      where
        go :: Int -> Int -> String -> Int
        go currentDepth maxDepth [] = maxDepth
        go currentDepth maxDepth (c:cs)
          | c == '('  = go (currentDepth + 1) (max currentDepth maxDepth) cs
          | c == ')'  = go (currentDepth - 1) maxDepth cs
          | otherwise = go currentDepth maxDepth cs","
main :: IO ()
main = do
  let candidate = parseNestedParens
  if candidate ""(()()) ((())) () ((())()())"" == [2,3,1,3] then pure () else error ""assertion failed""
  if candidate ""() (()) ((())) (((())))"" == [1,2,3,4] then pure () else error ""assertion failed""
  if candidate ""(()(())((())))"" == [4] then pure () else error ""assertion failed""
  pure ()"
HumanEval_7,kas_Deva,hs,"--युस इनपुट लिस्ट छी सु छी फिल्टर कारन सिर्फ तेमन खातर यम मंज़ सबस्ट्रिंग छी--  >>> filterBySubstring [] ""a""
--  []
--  >>> filterBySubstring [""abc"",""bacd"",""cde"",""array""] ""a""
--  [""abc"",""bacd"",""array""]
filterBySubstring :: [String] -> String -> [String]
filterBySubstring strings substring =","filterBySubstring :: [String] -> String -> [String]
filterBySubstring strings substring = filter (substring `isInfixOf`) strings
  where isInfixOf = isInfixOf","
main :: IO ()
main = do
  let candidate = filterBySubstring
  if candidate [] ""john"" == [] then pure () else error ""assertion failed""
  if candidate [""xxx"",""asd"",""xxy"",""john doe"",""xxxAAA"",""xxx""] ""xxx"" == [""xxx"",""xxxAAA"",""xxx""] then pure () else error ""assertion failed""
  if candidate [""xxx"",""asd"",""aaaxxy"",""john doe"",""xxxAAA"",""xxx""] ""xx"" == [""xxx"",""aaaxxy"",""xxxAAA"",""xxx""] then pure () else error ""assertion failed""
  if candidate [""grunt"",""trumpet"",""prune"",""gruesome""] ""run"" == [""grunt"",""prune""] then pure () else error ""assertion failed""
  pure ()"
HumanEval_8,kas_Deva,hs,"--ेमो कुर अस सुम्म बराबर 0 बे युस ेमो कुर अस सुम्म बराबर 1--इंटरजेर्स हिंज लिस्ट खातिर,तेम अस टपल ते तेम सबकुक प्रोडक्ट युस सूचस मंज़ छू.--  >>> sumProduct []
--  (0, 1)
--  >>> sumProduct [1,2,3,4]
--  (10, 24)
sumProduct :: [Int] -> (Int, Int)
sumProduct numbers =","sumProduct :: [Int] -> (Int, Int)
sumProduct numbers = (sum numbers, product numbers)","
main :: IO ()
main = do
  let candidate = sumProduct
  if candidate [] == (0, 1) then pure () else error ""assertion failed""
  if candidate [1,1,1] == (3, 1) then pure () else error ""assertion failed""
  if candidate [100,0] == (100, 0) then pure () else error ""assertion failed""
  if candidate [3,5,7] == (15, 105) then pure () else error ""assertion failed""
  if candidate [10] == (10, 10) then pure () else error ""assertion failed""
  pure ()"
HumanEval_9,kas_Deva,hs,"--णण ण ण ण ण ण ण ण ण--इंटरजेर्स हिंज लिस्ट मंज़,तेम वक़त ताम लबनी अमृत एलिमेंट हिंज लिस्ट तैयार करने.--  >>> rollingMax [1,2,3,2,3,4,2]
--  [1,2,3,3,3,4,4]
rollingMax :: [Int] -> [Int]
rollingMax numbers =","rollingMax :: [Int] -> [Int]
rollingMax = scanl1 max","
main :: IO ()
main = do
  let candidate = rollingMax
  if candidate [] == [] then pure () else error ""assertion failed""
  if candidate [1,2,3,4] == [1,2,3,4] then pure () else error ""assertion failed""
  if candidate [4,3,2,1] == [4,4,4,4] then pure () else error ""assertion failed""
  if candidate [3,2,3,100,3] == [3,3,3,100,100] then pure () else error ""assertion failed""
  pure ()"
