task_id,nl,pl,prompt,canonical_solution,test,Unnamed: 6,Unnamed: 7,Unnamed: 8
HumanEval/0,pbt_Arab,python,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""وګورئ چې د شمېرو په ورکړل شوي لیست کې ، کوم دوه شمیرې د ورکړل شوي حد څخه یو بل ته نږدې دي. مثال: >>> has_close_elements (([1.0 ، 2.0 ، 3.0 ، 0.5) غلط >>> has_close_elements (([1.0 ، 2.8 ، 3.0 ، 4.0 ، 5.0 ، 2.0 ، 0.3) ریښتینی """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

",,,
HumanEval/1,pbt_Arab,python,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""د دې فنکشن لپاره ان پټ یو تار دی چې د ګنډل شوي قوسونو ډیری ډلې لري. ستاسو هدف دا دی چې دا ګروپ په جلا تارونو کې جلا کړئ او د هغو لیست بیرته راګرځئ. جلا ګروپونه متوازن دي (هر خلاص قوس په سمه توګه تړل شوی) او په یو بل کې نه نیسټ شوي د ننوت تار کې کوم ځایونه له پامه غورځول. مثال: >>> جلا_پیرن_ګروپونه ' ((( ) (() (()))))) ' [' (()) '، ' ((()) '، ' ((()))) ']""""""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
",,,
HumanEval/2,pbt_Arab,python,"

def truncate_number(number: float) -> float:
    """"""د مثبت تعویضي ټکي شمیره ورکړل شوې ، دا په بشپړ برخه کې تحلیل کیدی شي (لوی عدد د ورکړل شوي شمیر څخه کوچنی) او اعشاریې (پاته برخه تل له 1 څخه کوچنۍ وي). د شمیر اعشاریه برخه بیرته راګرځئ. مثال: >>> truncate_number ((3.5) 0.5 """"""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
",,,
HumanEval/3,pbt_Arab,python,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """"""تاسو ته د بانکي حساب د زیرمو او وتلو عملیاتو لیست درکول کیږي چې د صفر توازن سره پیل کیږي. ستاسو دنده دا ده چې کشف کړئ که په کوم وخت کې د حساب توازن د صفر څخه ښکته راشي ، او په دې وخت کې فنکشن باید ریښتینی بیرته راستون شي. که نه نو دا باید غلط بیرته راستون شي. مثال: >>> below_zero([1, 2, 3]) غلط >>> below_zero([1, 2, -4, 5]) ریښتینی """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
",,,
HumanEval/4,pbt_Arab,python,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """"""د ورکړل شوي لیست لپاره د ننوتلو شمیرې، د دې ډیټا سیټ د اوسط شاوخوا شاوخوا اوسط مطلق انحراف محاسبه کړئ. اوسط مطلق انحراف د هر عنصر او مرکزي نقطې ترمنځ اوسط مطلق توپیر دی (په دې حالت کې معنی): MAD = اوسط ۰ x - x_mean  مثال: >>> mean_absolute_deviation (([1.0, 2.0, 3.0, 4.0]) 1.0 """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

",,,
HumanEval/5,pbt_Arab,python,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """"""د ننوتلو لیست د هر دوه پرله پسې عناصرو ترمنځ یو شمیر 'دلیمیټر' داخل کړئ `numbers' >>> intersperse (([] ، 4) [] >>> intersperse (([1, 2, 3], 4) [1, 4, 2, 4, 3] """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
",,,
HumanEval/6,pbt_Arab,python,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """"""د دې فنکشن لپاره ان پټ د ځایونو لخوا جلا شوي قوسونو لپاره ډیری ډلو استازیتوب کوي. د هرې ډلې لپاره ، د قوسونو د نیسټینګ ترټولو ژوره کچه محصول کړئ. د مثال په توګه (() (()) د نیسټینګ اعظمي دوه کچې لري پداسې حال کې چې ((())) درې لري. >>> parse_nested_parens (('((()) ((())) (((()) (((()) [2, 3, 1, 3] """"""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
",,,
HumanEval/7,pbt_Arab,python,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """"""د تارونو د ننوتلو لیست یوازې د هغو لپاره فلټر کړئ چې ورکړل شوي فرعي تار لري >>> filter_by_substring([] ، 'a') [] >>> filter_by_substring(['abc' ، 'bacd' ، 'cde' ، 'array'] ، 'a') ['abc' ، 'bacd' ، 'array'] """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
",,,
HumanEval/8,pbt_Arab,python,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""د بشپړ شمیرونو د ورکړل شوي لیست لپاره ، یو ټپل بیرته راګرځئ چې د ټولې لیست کې د ټولو بشپړ شمیرونو مجموعه او محصول لري. خالي مجموعه باید 0 سره مساوي وي او خالي محصول باید 1 سره مساوي وي. >>> sum_product (([]) (0, 1) >>> sum_product (([1, 2, 3, 4]) (10, 24) """"""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
",,,
HumanEval/9,pbt_Arab,python,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """"""د بشپړ شمیرونو له ورکړل شوي لیست څخه ، د ترتیب په ترتیب کې تر ورکړل شوي شیبې پورې موندل شوي د رولینګ اعظمي عنصر لیست رامینځته کړئ. >>> rolling_max (([1, 2, 3, 2, 3, 4, 2]) [1, 2, 3, 3, 3, 4, 4] """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
",,,
