task_id,nl,pl,prompt,canonical_solution,test,Unnamed: 6,Unnamed: 7,Unnamed: 8
HumanEval/0,cjk_Latn,python,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""Chinyingi: >>> has_close_elements (([1.0, 2.0, 3.0], 0.5) Fake >>> has_close_elements (([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3) True """"""
","for idx, elem in enumerate(numbers):
    for idx2, elem2 in enumerate(numbers):
        if idx != idx2:
            distance = abs(elem - elem2)
            if distance < threshold:
                return True
return False
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

",,,
HumanEval/1,cjk_Latn,python,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""Kuzachisa chihanda chino chili chihanda chize chili ni yikwata yinji ya yifwo ya kulimbalimba. Ulemu we uli ha kuhandununa yikwata yacho mu yikwata ya kusakula ni kuheta chihanda cha yikwata yacho. Yikwata ya kusakula yili ya kuyisoneka (chihanda ni chihanda cha kulimbalimba hi cha kusosoloka kanawa) nawa kuyisoneka umwe ni mukwo. Kanda kuhanjikanga ha yikwata ya kulimbalimba. Chifwa: >>> separate_paren_groups' ((( ) (() (()))))) ' ['() ', '(()) ', '(() ']""""""
","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
",,,
HumanEval/2,cjk_Latn,python,"

def truncate_number(number: float) -> float:
    """"""Ha kupa chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda cha chihanda chihanda cha chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chihanda chichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichi""""""
","    return number % 1.0
","def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
",,,
HumanEval/3,cjk_Latn,python,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """"""Muchiwana liji lia milimo ya kuhana ni kuhana ha umwe mukanda wa pangesa yize yinaputuka ni kuhona. Kuzata che chili cha kumona nyi ha shimbu liosena liji ha mukanda wa pangesa lihiluka kuhiana zero, ha shimbu liacho, mulimo wacho unatela kuhana maliji ngwo, ""Muchano"". Nyi hi chocho, muchikapwa ni maliji ngwo, ""Muchano"". Chilakej: >>> below_zero([1, 2, 3]) False >>> below_zero([1, 2, -4, 5]) True """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
",,,
HumanEval/4,cjk_Latn,python,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """"""Ha chihanda cha lamba, ni kupima chihandilu cha yuma ya mu chihanda chacho. Chihandilu cha yuma ya mu chihanda chacho chili chihandilu cha yuma yeswe ya mu chihanda chacho ni chihanda cha hachihanda chacho (chihandilu ha chihanda chacho): MAD = average. x - x_mean. Chakutalilaho: >>> mean_absolute_deviation ([1.0, 2.0, 3.0, 4.0]) 1.0 """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

",,,
HumanEval/5,cjk_Latn,python,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """"""Satela nambala ya ""delimeter"" ha kati ka yuma ya yilemu yiali ya mukanda wa kuheta `numbers' >>> intersperse([], 4) [] >>> intersperse([1, 2, 3], 4) [1, 4, 2, 4, 3] """"""
","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
",,,
HumanEval/6,cjk_Latn,python,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """"""Ku chizavu chino, mutu mahasa kuhana ndando yize yinasale ni masumbu anji, ha kusakula ndando yize yinasale ni masumbu waze ali ha chikupu. Chakutalilaho, (() (()) yili ni masumbu aali, alioze ((())) yili ni atatu.""""""
","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
","def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
",,,
HumanEval/7,cjk_Latn,python,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """"""Kufweta liji lia yifwo ya mu mukanda ha yize yili ni substring >>> filter_by_substring([], 'a') [] >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a') ['abc', 'bacd', 'array'] """"""
","    return [x for x in strings if substring in x]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
",,,
HumanEval/8,cjk_Latn,python,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""Ha chihanda cha lamba lieswe, ni kuhilwisa chihanda cha lamba lieswe ha chihanda cha lamba lieswe.""""""
","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
",,,
HumanEval/9,cjk_Latn,python,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """"""Ku mukanda wa lamba lieswe, hanenu mukanda wa yuma yinji yize muyihasa kusoloka ndo ha shimbu liacho. >>> rolling_max (([1, 2, 3, 2, 3, 4, 2]) [1, 2, 3, 3, 3, 4, 4] """"""
","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
",,,
