task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,mya_Mymr,rb,"း း း း း း း း းပေးထားတဲ့ ကိန်းတန်းထဲမှာ ထက် ပိုနီးတဲ့ ကိန်းနှစ်လုံး ရှိလား စစ်ကြည့်ပါ။# >>> has_close_elements.call([1.0, 2.0, 3.0], 0.5)
# false
# >>> has_close_elements.call([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
# true
def has_close_elements(numbers, threshold)
","def has_close_elements(numbers, threshold)
  numbers.combination(2).any? { |a, b| (a - b).abs < threshold }
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_has_close_elements
    candidate = method(:has_close_elements)
    assert_equal(true, candidate.call([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3))
    assert_equal(false, candidate.call([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05))
    assert_equal(true, candidate.call([1.0, 2.0, 5.9, 4.0, 5.0], 0.95))
    assert_equal(false, candidate.call([1.0, 2.0, 5.9, 4.0, 5.0], 0.8))
    assert_equal(true, candidate.call([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1))
    assert_equal(true, candidate.call([1.1, 2.2, 3.1, 4.1, 5.1], 1.0))
    assert_equal(false, candidate.call([1.1, 2.2, 3.1, 4.1, 5.1], 0.5))
  end
end
"
HumanEval_1,mya_Mymr,rb,"input string ထဲမှာရှိတဲ့ နေရာလွတ်တွေကို လျစ်လျူရှုလိုက်ပါ။သီးခြားအုပ်စုတွေက ဟန်ချက်ညီ (ဖွင့်ထားတဲ့ brace တစ်ခုစီကို မှန်ကန်စွာ ပိတ်ထားတယ်) ပြီးတော့ တစ်ခုနဲ့တစ်ခု မချိတ်ထားဘူးအဲဒီ အုပ်စုတွေကို သီးခြား String တွေအဖြစ် ခွဲခြားပြီး အဲဒီထဲက Array ကို ပြန်ပို့ပေးပါတယ်။ဒီ function ရဲ့ input က nested parentheses တွေရဲ့ အုပ်စုပေါင်းစုံပါတဲ့ string ပါ။ သင့်ရဲ့ ရည်ရွယ်ချက်က # >>> separate_paren_groups.call(""( ) (( )) (( )( ))"")
# [""()"", ""(())"", ""(()())""]
def separate_paren_groups(paren_string)
","def separate_paren_groups(paren_string)
  # Remove spaces from the string
  paren_string = paren_string.gsub("" "", """")
  
  result = []
  current_group = """"
  balance = 0

  paren_string.each_char do |char|
    current_group += char
    balance += 1 if char == '('
    balance -= 1 if char == ')'

    if balance == 0 && !current_group.empty?
      result << current_group
      current_group = """"
    end
  end

  result
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_separate_paren_groups
    candidate = method(:separate_paren_groups)
    assert_equal([""(()())"", ""((()))"", ""()"", ""((())()())""], candidate.call(""(()()) ((())) () ((())()())""))
    assert_equal([""()"", ""(())"", ""((()))"", ""(((())))""], candidate.call(""() (()) ((())) (((())))""))
    assert_equal([""(()(())((())))""], candidate.call(""(()(())((())))""))
    assert_equal([""()"", ""(())"", ""(()())""], candidate.call(""( ) (( )) (( )( ))""))
  end
end
"
HumanEval_2,mya_Mymr,rb,"ကိန်းဂဏန်းရဲ့ ဆယ်လီကိန်း အပိုင်းကို ပြန်ပေးပါ(ကျန်တဲ့ အစိတ်အပိုင်းက ၁ ထက် အမြဲသေးပါတယ်။)ပြီးပြည့်စုံသော အပိုင်း (ပေးထားသော နံပါတ်ထက် ပိုငယ်သော အကြီးဆုံးပြည့်စုံသော ကိန်း) နှင့် ဒသမကိန်းများ အပေါင်းကိန်းတစ်ခုရဲ့ အပြောင်းအလဲဖြစ်တဲ့အခါ ဒါကို  လို့ခွဲခြားနိုင်ပါတယ်။# >>> truncate_number.call(3.5)
# 0.5
def truncate_number(number)
","def truncate_number(number)
  number - number.to_i
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_truncate_number
    candidate = method(:truncate_number)
    assert_equal(0.5, candidate.call(3.5))
    assert_equal(0.25, candidate.call(1.25))
    assert_equal(0.0, candidate.call(123.0))
  end
end
"
HumanEval_3,mya_Mymr,rb,"အဲဒီအချိန်မှာ function က true ပြန်ပေးရမယ်။ မဟုတ်ရင် false ပြန်ပေးရမယ်။သင့်အလုပ်က ငွေကြေးကဒ်တွေ အားလုံး သုညအောက် ကျသွားရင် ရှာဖွေဖို့ပါ။""အကောင့်တစ်ခုပေါ်က ငွေကိုဖြည့်ခြင်း သို့မဟုတ် ထုတ်ယူခြင်း"" ဆိုတဲ့ စာလုံးတွေနဲ့ စတင်တဲ့ ငွေလွှဲခြင်း နဲ့ ထုတ်ယူခြင်း လုပ်ငန်းစဉ် တသီကြီးကို ခင်ဗျား လုပ်နိုင်တယ်။# >>> below_zero.call([1, 2, 3])
# false
# >>> below_zero.call([1, 2, -4, 5])
# true
def below_zero(operations)
","def below_zero(operations)
  balance = 0
  operations.each do |operation|
    balance += operation
    return true if balance < 0
  end
  false
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_below_zero
    candidate = method(:below_zero)
    assert_equal(false, candidate.call([]))
    assert_equal(false, candidate.call([1, 2, -3, 1, 2, -3]))
    assert_equal(true, candidate.call([1, 2, -4, 5, 6]))
    assert_equal(false, candidate.call([1, -1, 2, -2, 5, -5, 4, -4]))
    assert_equal(true, candidate.call([1, -1, 2, -2, 5, -5, 4, -5]))
    assert_equal(true, candidate.call([1, -2, 2, -2, 5, -5, 4, -4]))
  end
end
"
HumanEval_4,mya_Mymr,rb,"MAD = ပျမ်းမျှ။ x - x_mean။element နဲ့ ဗဟိုအမှတ် (ဒီကိစ္စမှာ mean)Mean Absolute Deviation ကေတာ့ ႏွစ္ခုၾကားက အလယ္အလတ္ ပကတိ ကွာဟခ်က္ပါ။ဒီဒေတာစုရဲ့ ပျမ်းမျှအနီးမှာ။input ကိန်းတွေရဲ့ array တစ်ခုအတွက်၊ ပျမ်းမျှ လုံး၀ ကွာဟချက်ကို တွက်ပါ။# >>> mean_absolute_deviation.call([1.0, 2.0, 3.0, 4.0])
# 1.0
def mean_absolute_deviation(numbers)
","def mean_absolute_deviation(numbers)
  mean = numbers.sum.to_f / numbers.size
  deviations = numbers.map { |num| (num - mean).abs }
  deviations.sum / numbers.size
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_mean_absolute_deviation
    candidate = method(:mean_absolute_deviation)
    assert_equal(0.5, candidate.call([1.0, 2.0]))
    assert_equal(1.0, candidate.call([1.0, 2.0, 3.0, 4.0]))
    assert_equal(1.2, candidate.call([1.0, 2.0, 3.0, 4.0, 5.0]))
  end
end
"
HumanEval_5,mya_Mymr,rb,"input array ၏ဆက်တိုက် element နှစ်ခုကြားတွင် ""delimiter"" နံပါတ်ကိုထည့်ပါ။# >>> intersperse.call([], 4)
# []
# >>> intersperse.call([1, 2, 3], 4)
# [1, 4, 2, 4, 3]
def intersperse(numbers, delimeter)
","def intersperse(numbers, delimeter)
  return numbers if numbers.empty?
  result = []
  numbers.each_with_index do |num, index|
    result << num
    result << delimeter unless index == numbers.size - 1
  end
  result
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_intersperse
    candidate = method(:intersperse)
    assert_equal([], candidate.call([], 7))
    assert_equal([5, 8, 6, 8, 3, 8, 2], candidate.call([5, 6, 3, 2], 8))
    assert_equal([2, 2, 2, 2, 2], candidate.call([2, 2, 2], 2))
  end
end
"
HumanEval_6,mya_Mymr,rb,"ဥပမာ (() (()) မှာ အမြင့်ဆုံး နှစ်ဆင့်ရှိပြီး ((())) မှာ သုံးဆင့်ရှိတယ်အုပ်စုတစ်ခုစီအတွက်၊ ကပ် parentheses များ၏ နက်ရှိုင်းဆုံး nesting level ကို output လုပ်ပါ။ဒီ function ရဲ့ input က အလွတ်နေရာနဲ့ ခြားထားတဲ့ parentheses တွေအတွက် အုပ်စုပေါင်းစုံကို ကိုယ်စားပြုတဲ့ string ပါ။# >>> parse_nested_parens.call(""(()()) ((())) () ((())()())"")
# [2, 3, 1, 3]
def parse_nested_parens(paren_string)
","def parse_nested_parens(paren_string)
  paren_string.split.map do |group|
    max_depth = current_depth = 0
    group.chars.each do |char|
      if char == '('
        current_depth += 1
        max_depth = [max_depth, current_depth].max
      elsif char == ')'
        current_depth -= 1
      end
    end
    max_depth
  end
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_parse_nested_parens
    candidate = method(:parse_nested_parens)
    assert_equal([2, 3, 1, 3], candidate.call(""(()()) ((())) () ((())()())""))
    assert_equal([1, 2, 3, 4], candidate.call(""() (()) ((())) (((())))""))
    assert_equal([4], candidate.call(""(()(())((())))""))
  end
end
"
HumanEval_7,mya_Mymr,rb,"string တွေရဲ့ input array ကို filter လုပ်ပြီး ပေးထားတဲ့ substring တွေကိုပဲ စစ်ပေးတယ်# >>> filter_by_substring.call([], ""a"")
# []
# >>> filter_by_substring.call([""abc"", ""bacd"", ""cde"", ""array""], ""a"")
# [""abc"", ""bacd"", ""array""]
def filter_by_substring(strings, substring)
","def filter_by_substring(strings, substring)
  strings.select { |string| string.include?(substring) }
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_filter_by_substring
    candidate = method(:filter_by_substring)
    assert_equal([], candidate.call([], ""john""))
    assert_equal([""xxx"", ""xxxAAA"", ""xxx""], candidate.call([""xxx"", ""asd"", ""xxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xxx""))
    assert_equal([""xxx"", ""aaaxxy"", ""xxxAAA"", ""xxx""], candidate.call([""xxx"", ""asd"", ""aaaxxy"", ""john doe"", ""xxxAAA"", ""xxx""], ""xx""))
    assert_equal([""grunt"", ""prune""], candidate.call([""grunt"", ""trumpet"", ""prune"", ""gruesome""], ""run""))
  end
end
"
HumanEval_8,mya_Mymr,rb,"အလွတ် product က 1 နဲ့ ညီမျှပြီး အလွတ် sum က 0 နဲ့ ညီမျှသင့်ပါတယ်။ကိန်းပြည့်များ၏ array တစ်ခုအတွက် array တစ်ခုရှိ ကိန်းပြည့်များ၏ ပေါင်းလဒ်နှင့် ပွားများသော array တစ်ခုကို ပြန်ပေးပါ။# >>> sum_product.call([])
# [0, 1]
# >>> sum_product.call([1, 2, 3, 4])
# [10, 24]
def sum_product(numbers)
","def sum_product(numbers)
  sum = numbers.reduce(0, :+)
  product = numbers.reduce(1, :*)
  [sum, product]
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_sum_product
    candidate = method(:sum_product)
    assert_equal([0, 1], candidate.call([]))
    assert_equal([3, 1], candidate.call([1, 1, 1]))
    assert_equal([100, 0], candidate.call([100, 0]))
    assert_equal([15, 105], candidate.call([3, 5, 7]))
    assert_equal([10, 10], candidate.call([10]))
  end
end
"
HumanEval_9,mya_Mymr,rb,"အဆက်မပြတ်ပေါ့။ပေးထားတဲ့ ကိန်းပြည့်တွေရဲ့ မေထရစ်တစ်ခုကနေ ပေးထားတဲ့ အချိန်ထိ တွေ့ထားတဲ့ အလှည့်ကျ အများဆုံး ဒြပ်စင်ရဲ့ မေထရစ်တစ်ခု ဖန်တီးပါ။# >>> rolling_max.call([1, 2, 3, 2, 3, 4, 2])
# [1, 2, 3, 3, 3, 4, 4]
def rolling_max(numbers)
","def rolling_max(numbers)
  max_so_far = numbers.first
  numbers.map do |num|
    max_so_far = [max_so_far, num].max
  end
end

# Example usage:
# puts rolling_max([1, 2, 3, 2, 3, 4, 2]).inspect","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_rolling_max
    candidate = method(:rolling_max)
    assert_equal([], candidate.call([]))
    assert_equal([1, 2, 3, 4], candidate.call([1, 2, 3, 4]))
    assert_equal([4, 4, 4, 4], candidate.call([4, 3, 2, 1]))
    assert_equal([3, 3, 3, 100, 100], candidate.call([3, 2, 3, 100, 3]))
  end
end
"
HumanEval_10,mya_Mymr,rb,"- string ရဲ့ reverse end ကို palindromic suffix ရှေ့မှာရှိတဲ့ string prefix နဲ့ ပေါင်းထည့်ပါ။- ပေးထားသော string ၏ palindrome ဖြစ်သော postfix အရှည်ဆုံးကို ရှာပါ။အယ်လ်ဂိုရစ်သမ် စိတ်ကူးက ရိုးရှင်းပါတယ်။ပေးထားတဲ့ string နဲ့စတဲ့ အတိုဆုံး palindrome ကိုရှာပါ။# >>> make_palindrome.call("""")
# """"
# >>> make_palindrome.call(""cat"")
# ""catac""
# >>> make_palindrome.call(""cata"")
# ""catac""
def make_palindrome(string)
","def make_palindrome(string)
  return string if string.empty?

  def is_palindrome?(s)
    s == s.reverse
  end

  (0...string.length).reverse_each do |i|
    if is_palindrome?(string[i..-1])
      return string + string[0...i].reverse
    end
  end

  string
end","require 'test/unit'
class TestHumanEval < Test::Unit::TestCase
  def test_make_palindrome
    candidate = method(:make_palindrome)
    assert_equal("""", candidate.call(""""))
    assert_equal(""x"", candidate.call(""x""))
    assert_equal(""xyzyx"", candidate.call(""xyz""))
    assert_equal(""xyx"", candidate.call(""xyx""))
    assert_equal(""jerryrrej"", candidate.call(""jerry""))
  end
end
"
