task_id,nl,pl,prompt,canonical_solution,tests
HumanEval_0,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / nomena tokonam-baravarana.     / Zahao raha ao anatin'ny lisitry ny isa nomena, misy isa roa mifanakaiky kokoa noho ny     // >>> hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.0f))), (0.5f))
    // (false)
    // >>> hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.8f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.0f))), (0.3f))
    // (true)
    public static boolean hasCloseElements(ArrayList<Float> numbers, float threshold) {
","import java.util.ArrayList;
import java.util.Collections;

class Problem {
    public static boolean hasCloseElements(ArrayList<Float> numbers, float threshold) {
        if(numbers == null || numbers.size() < 2) {
            return false;
        }
        Collections.sort(numbers);
        for (int i = 0; i < numbers.size() - 1; i++) {
            if (Math.abs(numbers.get(i) - numbers.get(i + 1)) < threshold) {
                return true;
            }
        }
        return false;
    }

    public static void main(String[] args) {
        ArrayList<Float> numbers1 = new ArrayList<>(Arrays.asList(1.0f, 2.0f, 3.0f));
        System.out.println(hasCloseElements(numbers1, 0.5f)); // Output: false

        ArrayList<Float> numbers2 = new ArrayList<>(Arrays.asList(1.0f, 2.8f, 3.0f, 4.0f, 5.0f, 2.0f));
        System.out.println(hasCloseElements(numbers2, 0.3f)); // Output: true
    }
}","    }
    public static void main(String[] args) {
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.9f, (float)4.0f, (float)5.0f, (float)2.2f))), (0.3f)) == (true));
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.9f, (float)4.0f, (float)5.0f, (float)2.2f))), (0.05f)) == (false));
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)5.9f, (float)4.0f, (float)5.0f))), (0.95f)) == (true));
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)5.9f, (float)4.0f, (float)5.0f))), (0.8f)) == (false));
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.0f))), (0.1f)) == (true));
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.1f, (float)2.2f, (float)3.1f, (float)4.1f, (float)5.1f))), (1.0f)) == (true));
    assert(hasCloseElements((new ArrayList<Float>(Arrays.asList((float)1.1f, (float)2.2f, (float)3.1f, (float)4.1f, (float)5.1f))), (0.5f)) == (false));
    }

}
"
HumanEval_1,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / Aza dinihina ny toerana rehetra ao amin'ny tadin'ny fidirana.     / Mifanaraka tsara ny vondrona tsirairay (mifamatotra tsara ny fehikibo misokatra tsirairay) ary tsy mifamatotra     / manasaraka ireo vondrona ireo ho andian-dahatsoratra misaraka ary mamerina ny lisitry ny array ireo.     / Ny fampidirana an'io fiasa io dia tady misy vondrona marobe misy fonosana voatahiry. Ny tanjonao dia ny     // >>> separateParenGroups((""( ) (( )) (( )( ))""))
    // (new ArrayList<String>(Arrays.asList((String)""()"", (String)""(())"", (String)""(()())"")))
    public static ArrayList<String> separateParenGroups(String paren_string) {
","import java.util.ArrayList;

public class Problem {
    public static ArrayList<String> separateParenGroups(String paren_string) {
        ArrayList<String> groups = new ArrayList<>();
        int balance = 0;
        StringBuilder currentGroup = new StringBuilder();

        for (char c : paren_string.toCharArray()) {
            if (c == '(') {
                balance++;
                currentGroup.append(c);
            } else if (c == ')') {
                balance--;
                currentGroup.append(c);
            }

            if (balance == 0 && currentGroup.length() > 0) {
                groups.add(currentGroup.toString());
                currentGroup.setLength(0);
            }
        }

        return groups;
    }

    public static void main(String[] args) {
        ArrayList<String> result = separateParenGroups(""( ) (( )) (( )( ))"");
        System.out.println(result); // Output: [""()"", ""(())"", ""(()())""]
    }
}","    }
    public static void main(String[] args) {
    assert(separateParenGroups((""(()()) ((())) () ((())()())"")).equals((new ArrayList<String>(Arrays.asList((String)""(()())"", (String)""((()))"", (String)""()"", (String)""((())()())"")))));
    assert(separateParenGroups((""() (()) ((())) (((())))"")).equals((new ArrayList<String>(Arrays.asList((String)""()"", (String)""(())"", (String)""((()))"", (String)""(((())))"")))));
    assert(separateParenGroups((""(()(())((())))"")).equals((new ArrayList<String>(Arrays.asList((String)""(()(())((())))"")))));
    assert(separateParenGroups((""( ) (( )) (( )( ))"")).equals((new ArrayList<String>(Arrays.asList((String)""()"", (String)""(())"", (String)""(()())"")))));
    }

}
"
HumanEval_2,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / Avereno ny ampahany amin'ny isa.     / (ny ampahany sisa tavela dia kely kokoa noho ny 1).     / sy ampahany integer (integer lehibe indrindra kely kokoa noho ny isa nomena) ary decimals     / Raha nomena isa isa miovaova miovaova, dia azo zaraina ho     // >>> truncateNumber((3.5f))
    // (0.5f)
    public static float truncateNumber(float number) {
","int integerPart = (int) number;
        return number - integerPart;
    }
}","    }
    public static void main(String[] args) {
    assert(truncateNumber((3.5f)) == (0.5f));
    assert(truncateNumber((1.25f)) == (0.25f));
    assert(truncateNumber((123.0f)) == (0.0f));
    }

}
"
HumanEval_3,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / amin'io fotoana io dia tokony hamerina ny marina ny fiasa. Raha tsy izany dia tokony hamerina ny diso.     / zero balance. Ny asanao dia ny mamantatra raha toa ka latsaka ambanin'ny zero ny fifandanjan'ny kaonty, ary     / Nomena lisitra iray misy ny tahiry sy ny fisintomana amin'ny kaonty banky izay manomboka amin'ny     // >>> belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l))))
    // (false)
    // >>> belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)-4l, (long)5l))))
    // (true)
    public static boolean belowZero(ArrayList<Long> operations) {
","import java.util.ArrayList;

public class Problem {
    public static boolean belowZero(ArrayList<Long> operations) {
        long balance = 0;
        for (Long operation : operations) {
            balance += operation;
            if (balance < 0) {
                return true;
            }
        }
        return false;
    }

    public static void main(String[] args) {
        ArrayList<Long> operations1 = new ArrayList<Long>(Arrays.asList(1L, 2L, 3L));
        System.out.println(belowZero(operations1)); // false

        ArrayList<Long> operations2 = new ArrayList<Long>(Arrays.asList(1L, 2L, -4L, 5L));
        System.out.println(belowZero(operations2)); // true
    }
}","    }
    public static void main(String[] args) {
    assert(belowZero((new ArrayList<Long>(Arrays.asList()))) == (false));
    assert(belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)-3l, (long)1l, (long)2l, (long)-3l)))) == (false));
    assert(belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)-4l, (long)5l, (long)6l)))) == (true));
    assert(belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)-1l, (long)2l, (long)-2l, (long)5l, (long)-5l, (long)4l, (long)-4l)))) == (false));
    assert(belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)-1l, (long)2l, (long)-2l, (long)5l, (long)-5l, (long)4l, (long)-5l)))) == (true));
    assert(belowZero((new ArrayList<Long>(Arrays.asList((long)1l, (long)-2l, (long)2l, (long)-2l, (long)5l, (long)-5l, (long)4l, (long)-4l)))) == (true));
    }

}
"
HumanEval_4,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / MAD = salanisa ∙ x - x_mean ∙    / singa sy teboka afovoany (midin'ny tranga amin'ity tranga ity):     / Ny salan'isa tanteraka ny fiviliana dia ny salan'isa tanteraka ny fahasamihafana eo amin'ny tsirairay     / manodidina ny salan'isan'ny angon-drakitra.     / Ho an'ny lisitra nomena ny isa miditra, kajy ny Mean Absolute Deviation     // >>> meanAbsoluteDeviation((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f))))
    // (1.0f)
    public static float meanAbsoluteDeviation(ArrayList<Float> numbers) {
","import java.util.ArrayList;

class Problem {
    // For a given array list of input numbers, calculate Mean Absolute Deviation
    // around the mean of this dataset.
    public static float meanAbsoluteDeviation(ArrayList<Float> numbers) {
        if (numbers == null || numbers.isEmpty()) {
            throw new IllegalArgumentException(""The list should not be null or empty"");
        }
        
        // Calculate mean
        float sum = 0.0f;
        for (float num : numbers) {
            sum += num;
        }
        float mean = sum / numbers.size();
        
        // Calculate Mean Absolute Deviation
        float madSum = 0.0f;
        for (float num : numbers) {
            madSum += Math.abs(num - mean);
        }
        
        return madSum / numbers.size();
    }

    // A main method to demonstrate functionality
    public static void main(String[] args) {
        ArrayList<Float> numbers = new ArrayList<Float>();
        numbers.add(1.0f);
        numbers.add(2.0f);
        numbers.add(3.0f);
        numbers.add(4.0f);

        float mad = meanAbsoluteDeviation(numbers);
        System.out.println(""Mean Absolute Deviation: "" + mad);
    }
}","    }
    public static void main(String[] args) {
    assert(meanAbsoluteDeviation((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f)))) == (0.5f));
    assert(meanAbsoluteDeviation((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f)))) == (1.0f));
    assert(meanAbsoluteDeviation((new ArrayList<Float>(Arrays.asList((float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f)))) == (1.2f));
    }

}
"
HumanEval_5,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / Ampidiro ny isa 'delimeter' eo anelanelan'ny singa roa misesy amin'ny lisitry ny lisitry ny lisitry ny lisitra `numbers'     // >>> intersperse((new ArrayList<Long>(Arrays.asList())), (4l))
    // (new ArrayList<Long>(Arrays.asList()))
    // >>> intersperse((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l))), (4l))
    // (new ArrayList<Long>(Arrays.asList((long)1l, (long)4l, (long)2l, (long)4l, (long)3l)))
    public static ArrayList<Long> intersperse(ArrayList<Long> numbers, long delimeter) {
","import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;

class Problem {
    // Insert a number 'delimeter' between every two consecutive elements of input array list `numbers'
    public static ArrayList<Long> intersperse(ArrayList<Long> numbers, long delimeter) {
        if (numbers == null || numbers.size() <= 1) {
            return numbers;
        }

        ArrayList<Long> result = new ArrayList<>();
        for (int i = 0; i < numbers.size(); i++) {
            result.add(numbers.get(i));
            if (i != numbers.size() - 1) {
                result.add(delimeter);
            }
        }
        return result;
    }
    
    public static void main(String[] args) {
        ArrayList<Long> numbers1 = new ArrayList<>(Arrays.asList());
        ArrayList<Long> result1 = intersperse(numbers1, 4L);
        System.out.println(result1);

        ArrayList<Long> numbers2 = new ArrayList<>(Arrays.asList(1L, 2L, 3L));
        ArrayList<Long> result2 = intersperse(numbers2, 4L);
        System.out.println(result2);
    }
}","    }
    public static void main(String[] args) {
    assert(intersperse((new ArrayList<Long>(Arrays.asList())), (7l)).equals((new ArrayList<Long>(Arrays.asList()))));
    assert(intersperse((new ArrayList<Long>(Arrays.asList((long)5l, (long)6l, (long)3l, (long)2l))), (8l)).equals((new ArrayList<Long>(Arrays.asList((long)5l, (long)8l, (long)6l, (long)8l, (long)3l, (long)8l, (long)2l)))));
    assert(intersperse((new ArrayList<Long>(Arrays.asList((long)2l, (long)2l, (long)2l))), (2l)).equals((new ArrayList<Long>(Arrays.asList((long)2l, (long)2l, (long)2l, (long)2l, (long)2l)))));
    }

}
"
HumanEval_6,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / Ohatra, (() (()) dia manana ambaratonga roa farafahakeliny raha toa ka ((())) manana telo.     / Ho an'ny vondrona tsirairay, mamoaka ny ambaratonga lalina indrindra amin'ny fanakambanam-baravarana.     / Ny fidirana amin'ity fiasa ity dia andian-dahatsoratra maneho vondrona maro ho an'ny fononteny mifangaro misaraka amin'ny habaka.     // >>> parseNestedParens((""(()()) ((())) () ((())()())""))
    // (new ArrayList<Long>(Arrays.asList((long)2l, (long)3l, (long)1l, (long)3l)))
    public static ArrayList<Long> parseNestedParens(String paren_string) {
","import java.util.ArrayList;
import java.util.Arrays;

class Problem {
    public static ArrayList<Long> parseNestedParens(String paren_string) {
        String[] groups = paren_string.split("" "");
        ArrayList<Long> depths = new ArrayList<>();

        for (String group : groups) {
            long currentDepth = 0;
            long maxDepth = 0;

            for (char c : group.toCharArray()) {
                if (c == '(') {
                    currentDepth++;
                    if (currentDepth > maxDepth) {
                        maxDepth = currentDepth;
                    }
                } else if (c == ')') {
                    currentDepth--;
                }
            }

            depths.add(maxDepth);
        }

        return depths;
    }

    public static void main(String[] args) {
        String input = ""(()()) ((())) () ((())()())"";
        System.out.println(parseNestedParens(input));
    }
}","    }
    public static void main(String[] args) {
    assert(parseNestedParens((""(()()) ((())) () ((())()())"")).equals((new ArrayList<Long>(Arrays.asList((long)2l, (long)3l, (long)1l, (long)3l)))));
    assert(parseNestedParens((""() (()) ((())) (((())))"")).equals((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l)))));
    assert(parseNestedParens((""(()(())((())))"")).equals((new ArrayList<Long>(Arrays.asList((long)4l)))));
    }

}
"
HumanEval_7,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / Fandinihana ny lisitry ny tsipika misy ny tsipika nomena fotsiny ho an'ireo izay misy ny substring nomena     // >>> filterBySubstring((new ArrayList<String>(Arrays.asList())), (""a""))
    // (new ArrayList<String>(Arrays.asList()))
    // >>> filterBySubstring((new ArrayList<String>(Arrays.asList((String)""abc"", (String)""bacd"", (String)""cde"", (String)""array""))), (""a""))
    // (new ArrayList<String>(Arrays.asList((String)""abc"", (String)""bacd"", (String)""array"")))
    public static ArrayList<String> filterBySubstring(ArrayList<String> strings, String substring) {
","public static ArrayList<String> filterBySubstring(ArrayList<String> strings, String substring) {
        return strings.stream()
                .filter(s -> s.contains(substring))
                .collect(Collectors.toCollection(ArrayList::new));
    }
}","    }
    public static void main(String[] args) {
    assert(filterBySubstring((new ArrayList<String>(Arrays.asList())), (""john"")).equals((new ArrayList<String>(Arrays.asList()))));
    assert(filterBySubstring((new ArrayList<String>(Arrays.asList((String)""xxx"", (String)""asd"", (String)""xxy"", (String)""john doe"", (String)""xxxAAA"", (String)""xxx""))), (""xxx"")).equals((new ArrayList<String>(Arrays.asList((String)""xxx"", (String)""xxxAAA"", (String)""xxx"")))));
    assert(filterBySubstring((new ArrayList<String>(Arrays.asList((String)""xxx"", (String)""asd"", (String)""aaaxxy"", (String)""john doe"", (String)""xxxAAA"", (String)""xxx""))), (""xx"")).equals((new ArrayList<String>(Arrays.asList((String)""xxx"", (String)""aaaxxy"", (String)""xxxAAA"", (String)""xxx"")))));
    assert(filterBySubstring((new ArrayList<String>(Arrays.asList((String)""grunt"", (String)""trumpet"", (String)""prune"", (String)""gruesome""))), (""run"")).equals((new ArrayList<String>(Arrays.asList((String)""grunt"", (String)""prune"")))));
    }

}
"
HumanEval_8,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / Ny sombin-javatra foana dia tokony ho mitovy amin'ny 0 ary ny vokatra foana dia tokony ho mitovy amin'ny 1.     / Ho an'ny lisitra iray nomena ny integer array, miverina ny mpivady misy ny sombiny sy ny vokatra ny integer rehetra ao amin'ny lisitra array array.     // >>> sumProduct((new ArrayList<Long>(Arrays.asList())))
    // (Pair.with(0l, 1l))
    // >>> sumProduct((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l))))
    // (Pair.with(10l, 24l))
    public static Pair<Long, Long> sumProduct(ArrayList<Long> numbers) {
","long sum = 0L;
        long product = 1L;
        
        for (Long number : numbers) {
            sum += number;
            product *= number;
        }
        
        return Pair.with(sum, product);
    }
}","    }
    public static void main(String[] args) {
    assert(sumProduct((new ArrayList<Long>(Arrays.asList()))).equals((Pair.with(0l, 1l))));
    assert(sumProduct((new ArrayList<Long>(Arrays.asList((long)1l, (long)1l, (long)1l)))).equals((Pair.with(3l, 1l))));
    assert(sumProduct((new ArrayList<Long>(Arrays.asList((long)100l, (long)0l)))).equals((Pair.with(100l, 0l))));
    assert(sumProduct((new ArrayList<Long>(Arrays.asList((long)3l, (long)5l, (long)7l)))).equals((Pair.with(15l, 105l))));
    assert(sumProduct((new ArrayList<Long>(Arrays.asList((long)10l)))).equals((Pair.with(10l, 10l))));
    }

}
"
HumanEval_9,plt_Latn,java,"import java.util.*;
import java.lang.reflect.*;
import org.javatuples.*;
import java.security.*;
import java.math.*;
import java.io.*;
import java.util.stream.*;
class Problem {
    / ao amin'ny filaharana.     / Avy amin'ny lisitry ny laharana nomena ny integer, mamorona lisitry ny laharana laharana ny rojo farany ambony indrindra hita hatramin'ny fotoana nomena     // >>> rollingMax((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)2l, (long)3l, (long)4l, (long)2l))))
    // (new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)3l, (long)3l, (long)4l, (long)4l)))
    public static ArrayList<Long> rollingMax(ArrayList<Long> numbers) {
","import java.util.*;

class Problem {
    // From a given array list of integers, generate an array list of rolling maximum element found until given moment
    // in the sequence.
    public static ArrayList<Long> rollingMax(ArrayList<Long> numbers) {
        ArrayList<Long> result = new ArrayList<>();
        if (numbers == null || numbers.isEmpty()) {
            return result;
        }
        long currentMax = Long.MIN_VALUE;
        for (Long number : numbers) {
            currentMax = Math.max(currentMax, number);
            result.add(currentMax);
        }
        return result;
    }

    public static void main(String[] args) {
        ArrayList<Long> numbers = new ArrayList<>(Arrays.asList(1L, 2L, 3L, 2L, 3L, 4L, 2L));
        ArrayList<Long> rollingMaxNumbers = rollingMax(numbers);
        System.out.println(rollingMaxNumbers); // Output: [1, 2, 3, 3, 3, 4, 4]
    }
}","    }
    public static void main(String[] args) {
    assert(rollingMax((new ArrayList<Long>(Arrays.asList()))).equals((new ArrayList<Long>(Arrays.asList()))));
    assert(rollingMax((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l)))).equals((new ArrayList<Long>(Arrays.asList((long)1l, (long)2l, (long)3l, (long)4l)))));
    assert(rollingMax((new ArrayList<Long>(Arrays.asList((long)4l, (long)3l, (long)2l, (long)1l)))).equals((new ArrayList<Long>(Arrays.asList((long)4l, (long)4l, (long)4l, (long)4l)))));
    assert(rollingMax((new ArrayList<Long>(Arrays.asList((long)3l, (long)2l, (long)3l, (long)100l, (long)3l)))).equals((new ArrayList<Long>(Arrays.asList((long)3l, (long)3l, (long)3l, (long)100l, (long)100l)))));
    }

}
"
